t,plant,axis,metamer,organ,element,Ag,Nstruct,Tr,Ts,green_area,is_growing,mstruct,amino_acids,cytokinins,fructan,nitrates,proteins,starch,sucrose,triosesP,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,R_maintenance,Transpiration,sum_respi,Amino_Acids_import,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,Nitrates_import,Regul_S_Fructan,S_Fructan,S_Starch,S_Sucrose,S_Amino_Acids,S_Proteins,cytokinins_import,k_proteins,Total_Organic_Nitrogen,nb_replications
0,1,MS,1,blade,LeafElement1,0.0,0.00054000000000000001,0.18726384300000001,18.789502330000001,0.00029428400000000002,False,0.018000000000000002,0.40000000000000002,2.7000000000000002,0,0,0.80000000000000004,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.771428571428572,1.0
0,1,MS,1,sheath,StemElement,0.0,0.00029999999999999997,0.1803941,18.599999069999999,0.000174251,False,0.01,0.20000000000000001,1.5,0,0,0.40000000000000002,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.028571428571428,1.0
0,1,MS,2,blade,LeafElement1,0.0,0.00059999999999999995,0.188262663,18.817068819999999,0.00028853,False,0.02,0.5,3.0,0,0,1.0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.357142857142854,1.0
0,1,MS,2,sheath,StemElement,0.0,0.00036000000000000002,0.0,0.0,1.26e-06,False,0.012,0.25,1.8,0,0,0.5,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.464285714285715,1.0
0,1,MS,3,blade,LeafElement1,0.0,0.00066,0.18921264500000001,18.843290840000002,0.00022900700000000001,False,0.022000000000000002,0.59999999999999998,3.2999999999999998,0,0,1.2,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.942857142857143,1.0
0,1,MS,3,sheath,StemElement,0.0,0.00042000000000000002,0.0,0.0,4.0600000000000001e-06,False,0.013999999999999999,0.29999999999999999,2.1000000000000001,0,0,0.59999999999999998,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.899999999999999,1.0
0,1,MS,4,blade,LeafElement1,0.0,5.2600000000000001e-08,0.0,18.0,5.9200000000000001e-08,True,1.6300000000000001e-06,0.0,0.0,0,0,0.0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0037571428571428569,1.0
4,1,MS,1,blade,LeafElement1,0.0,0.00054000000000000001,0.18726384300000001,18.789502330000001,0.00029428400000000002,False,0.018000000000000002,2.7335981611021705,2.6731966772108708,0.16131251095483445,0.00078678398766775931,0.84590562537404246,0.0,19.735083241955056,0.0,0.0,0.0,0,0.21392938242395995,0.25077771284316158,5.5108752773412007e-05,0.21392938242395995,0.081749103925501387,0.16131251095483445,0.039029161455519379,0.0,1.6039180063265226,-1.3232270590559387,-2.8715581309902056,0.00084460569211779147,0.015,9.7115203595902084,0.0,0.0,0,3.2560076004537297,0.002208016480507662,2.3069453781124501e-07,42.150932357904779,1.0
4,1,MS,1,sheath,StemElement,0.0,0.00029999999999999997,0.1803941,18.599999069999999,0.000174251,False,0.01,1.7061651893450973,1.4851419123382128,0.08612009601557058,0.00044877901296494271,0.42690905725377831,0.0,10.739075743227033,0.0,0.0,0.0,0,0.11548508298680625,0.13750288663683205,3.1433852319099998e-05,0.11548508298680625,0.046629421474636445,0.08612009601557058,0.035453325884430391,0.0,1.6039532653252697,-0.7941633122205275,-2.0066265165033417,0.00048176032404621832,0.015,9.5475619778248788,0.0,0.0,0,3.404556402816334,0.001259445377974566,2.306848709736828e-07,23.561645675170304,1.0
4,1,MS,2,blade,LeafElement1,0.0,0.00059999999999999995,0.188262663,18.817068819999999,0.00028853,False,0.02,2.9965751487954924,2.9699426034336693,0.12481171664551138,0.00077551482418926235,1.0509945638886793,0.0,15.82620401000845,0.0,0.0,0.0,0,0.19391908698017105,0.27917483091952727,5.4319426155390002e-05,0.19391908698017105,0.080578205647451856,0.12481171664551138,0.043650296274224523,0.0,1.6037690058541816,-1.4367781133415507,-4.502560188816477,0.00083250834421985263,0.015,7.3784254939979714,0.0,0.0,0,3.2385194501470633,0.0021763909021124852,2.3073539512008329e-07,46.904712569827026,1.0
