t,plant,axis,organ,mstruct,Nstruct,age_from_flowering,amino_acids,cytokinins,nitrates,proteins,starch,structure,sucrose,C_exudation,HATS_LATS,N_exudation,RGR_Structure,R_Nnit_red,R_Nnit_upt,Respi_growth,R_grain_growth_starch,R_grain_growth_struct,R_residual,regul_transpiration,sum_respi,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,S_Amino_Acids,S_cytokinins,S_grain_starch,S_grain_structure,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,Total_Organic_Nitrogen
32,1,MS,phloem,NA,NA,NA,61.989719600410403,NA,NA,NA,NA,NA,471.06920457174965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,MS,roots,0.15174368400000002,0.0045348740000000004,NA,25.604969015276641,0.0057304692332264366,20.856293194284017,NA,NA,NA,65.333866776697008,14.127998824717119,43.095364720113636,5.5368982428539333,NA,0.58388275679427659,0.99756685711737991,NA,NA,NA,1.0548771218063087,0.0031993631564719255,2.6363267357179652,0.0088473162049287832,0.00024021668169492636,1.3200373536538022e-05,1.9433446812140831,1.6554035052013773e-05,NA,NA,NA,9.2957751977793333,70.639994123585595,2.512762864275516,349.52454044384808
36,1,MS,phloem,NA,NA,NA,60.670796746613313,NA,NA,NA,NA,NA,488.22779241179722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,MS,roots,0.152066438,0.0045413290000000002,NA,26.260997864450559,0.0022856571273957983,23.108829436600598,NA,NA,NA,70.259484803425224,14.289137244741923,41.851557354414027,5.3408732460662005,NA,0.60479716576659071,1.0322676946572196,NA,NA,NA,1.1194753067100955,0.073077646502613836,2.756540167133906,0.2072619272243752,0.006079459927165542,0.00012026191937904716,2.0086819816449615,3.4859930299009397e-05,NA,NA,NA,8.8783694305647174,71.445686223709615,2.6001705155093693,350.64164072159349
40,1,MS,phloem,NA,NA,NA,59.526702100236697,NA,NA,NA,NA,NA,533.73542936330728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,MS,roots,0.15240585100000001,0.004548117,NA,26.732671460157242,0.00048158646644584809,25.428784865089412,NA,NA,NA,75.236475034127849,14.700585632294082,40.612184578607824,5.2233431430933486,NA,0.62443891303703392,1.0627346078406417,NA,NA,NA,1.1824642125060687,0.11763410083694427,2.8696377333837444,0.33962476717998424,0.010768652074731204,4.0788713488030975e-05,2.0692984313479039,7.0015247583281133e-05,NA,NA,NA,8.1976699830145137,73.502928161470408,2.6769133698756713,351.59817146015723
44,1,MS,phloem,NA,NA,NA,58.52867203371769,NA,NA,NA,NA,NA,586.07476399246161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,MS,roots,0.15277434400000001,0.0045554870000000004,NA,27.179722703702122,0.00089963318041723882,27.813697203500912,NA,NA,NA,80.358234488931615,15.11828654271171,39.385264856058882,5.1134876045915831,NA,0.64327892667905262,1.090288946430108,NA,NA,NA,1.2448921633445857,0.097129956015265806,2.9784600364537464,0.28511624923751255,0.0097255554695926724,6.2914558495536074e-05,2.1265897028338889,0.0001363283941036113,NA,NA,NA,7.5489791502225705,75.591432713558547,2.7463197643075765,352.57165127513071
48,1,MS,phloem,NA,NA,NA,57.564467907282868,NA,NA,NA,NA,NA,613.63664988720006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1,MS,roots,0.15317045199999998,0.004563409,NA,27.831316361071032,0.0038241658026431226,30.262195213122098,NA,NA,NA,85.559093760042728,15.310138688478951,38.172862458354118,4.9801990021769722,NA,0.66118382404640552,1.1141851737209043,NA,NA,NA,1.3064467277025829,0.0094528157832103749,3.0818157254698928,0.028413105109068963,0.0010298266435626985,2.6027377096923562e-05,2.1801282160208117,0.00025603436196076375,NA,NA,NA,7.181122471669533,76.550693442394746,2.8065117725967363,353.78910207535671
