plant,axis,metamer,organ,element,width,height,STAR
1,MS,9,blade,LeafElement1,0.011,0.17,0.0114
1,MS,9,internode,HiddenElement,0.002,0.03,0
1,MS,9,sheath,StemElement,0.002,0.12,0.0049
1,MS,10,blade,LeafElement1,0.014,0.28,0.0216
1,MS,10,internode,HiddenElement,0.003,0.11,0.0005
1,MS,10,sheath,StemElement,0.003,0.22,0.0057
1,MS,11,blade,LeafElement1,0.019,0.41,0.0727
