organ,mstruct
Axis,Valeur initiale récupérée par CN-Wheat dans fichier d'initialisation (actuel MSTRUCT_AXIS) ?
Lamina,Valeur initiale récupérée par CN-Wheat dans fichier d'initialisation ?
Sheath,Valeur initiale récupérée par CN-Wheat dans fichier d'initialisation ?
Internode,Valeur initiale récupérée par CN-Wheat dans fichier d'initialisation ?
Chaff,Valeur initiale récupérée par CN-Wheat dans fichier d'initialisation ?
Peduncle,Valeur initiale récupérée par CN-Wheat dans fichier d'initialisation ?
