t,air_temperature,humidity,ambient_CO2,Wind,PAR_incident
0,19.1,0.84,360,2.2,0
1,17.9,0.9,360,2.2,0
2,17.1,0.94,360,2.2,0
3,16.7,0.94,360,2.2,0
4,16.5,0.94,360,2.2,20200
5,16.4,0.94,360,2.2,60600
6,16.6,0.94,360,2.2,101000
7,16.9,0.84,360,2.2,222200
8,16.5,0.85,360,2.2,323200
9,15.5,0.85,360,2.2,484800
10,16.3,0.77,360,2.2,1232200
11,18.2,0.69,360,2.2,3676400
12,17.8,0.6,360,2.2,5272200
13,18.7,0.57,360,2.2,4302600
14,18.8,0.53,360,2.2,3838000
15,19.2,0.5,360,2.2,3373400
16,18.8,0.47,360,2.2,3292600
17,18.1,0.48,360,2.2,1575600
18,16.3,0.54,360,2.2,949400
19,13.8,0.65,360,2.2,161600
20,11.6,0.77,360,2.2,0
21,12.1,0.71,360,2.2,0
22,12,0.69,360,2.2,0
23,10.5,0.77,360,2.2,0
24,10.4,0.83,360,2.8,0
25,9.7,0.83,360,2.8,0
26,11.8,0.76,360,2.8,0
27,9.5,0.8,360,2.8,0
28,9.2,0.9,360,2.8,242400
29,13.7,0.72,360,2.8,1212000
30,14.9,0.68,360,2.8,2403800
31,16.1,0.67,360,2.8,3696600
32,18.3,0.63,360,2.8,4646000
33,19.5,0.62,360,2.8,5575200
34,20.3,0.57,360,2.8,6262000
35,21.3,0.55,360,2.8,5575200
36,22.4,0.53,360,2.8,6464000
37,23,0.43,360,2.8,5696400
38,23.2,0.33,360,2.8,5272200
39,22.8,0.4,360,2.8,4282400
40,22,0.39,360,2.8,3211800
41,20.9,0.44,360,2.8,1939200
42,19.6,0.5,360,2.8,747400
43,17.4,0.59,360,2.8,40400
44,16.1,0.64,360,2.8,0
45,15.4,0.68,360,2.8,0
46,13.2,0.77,360,2.8,0
47,14,0.78,360,2.8,0
48,13.3,0.76,360,3.1,0
49,13,0.76,360,3.1,0
50,12.7,0.77,360,3.1,0
51,12.2,0.79,360,3.1,0
52,12,0.78,360,3.1,0
53,12.4,0.77,360,3.1,363600
54,13.4,0.75,360,3.1,909000
55,14,0.73,360,3.1,1535200
56,14.6,0.68,360,3.1,1818000
57,16.9,0.63,360,3.1,3979400
58,17.7,0.57,360,3.1,4706600
59,18.1,0.54,360,3.1,4504600
60,19.5,0.48,360,3.1,5534800
61,19.8,0.49,360,3.1,4928800
62,20.1,0.47,360,3.1,3939000
63,19.1,0.5,360,3.1,3353200
64,19.9,0.48,360,3.1,2343200
65,18.3,0.51,360,3.1,1616000
66,17.1,0.57,360,3.1,484800
67,16.3,0.61,360,3.1,0
68,15.2,0.65,360,3.1,0
69,15.1,0.66,360,3.1,0
70,14.7,0.7,360,3.1,0
71,14.6,0.73,360,3.1,0
72,13.2,0.63,360,3.4,0
73,13.2,0.63,360,3.4,0
74,12.9,0.63,360,3.4,0
75,12.4,0.68,360,3.4,0
76,11.7,0.72,360,3.4,0
77,11.6,0.73,360,3.4,101000
78,11.7,0.73,360,3.4,363600
79,11.9,0.75,360,3.4,808000
80,12.3,0.75,360,3.4,1454400
81,12.6,0.73,360,3.4,1797800
82,13.1,0.73,360,3.4,1575600
83,13.9,0.71,360,3.4,2323000
84,15,0.68,360,3.4,2484600
85,15.7,0.69,360,3.4,2323000
86,15.9,0.67,360,3.4,1979600
87,16.2,0.65,360,3.4,1656400
88,16.2,0.65,360,3.4,888800
89,16.2,0.67,360,3.4,646400
90,15.4,0.75,360,3.4,202000
91,13.6,0.83,360,3.4,0
92,14.1,0.78,360,3.4,0
93,14,0.8,360,3.4,0
94,12.7,0.85,360,3.4,0
95,11.8,0.88,360,3.4,0
96,10.5,0.86,360,3,0
97,11.6,0.85,360,3,0
98,12.1,0.81,360,3,0
99,12.1,0.84,360,3,0
100,12.5,0.84,360,3,40400
101,13.3,0.81,360,3,444400
102,15.2,0.73,360,3,1878600
103,18,0.63,360,3,3838000
104,19.8,0.56,360,3,5231800
105,19,0.52,360,3,3272400
106,20.7,0.48,360,3,5736800
107,20.7,0.48,360,3,3413800
108,20.7,0.51,360,3,2201800
109,20.3,0.5,360,3,2666400
110,19.3,0.6,360,3,3373400
111,18.9,0.57,360,3,1272600
112,19,0.51,360,3,505000
113,18.7,0.51,360,3,646400
114,18,0.54,360,3,202000
115,16.9,0.62,360,3,0
116,15.8,0.7,360,3,0
117,14.8,0.7,360,3,0
118,12.5,0.79,360,3,0
119,12.7,0.81,360,3,0
120,15.2,0.93,360,2,0
121,15.2,0.93,360,2,0
122,15.9,0.88,360,2,0
123,14.8,0.93,360,2,0
124,14.9,0.93,360,2,121200
125,15.4,0.9,360,2,606000
126,15.9,0.9,360,2,767600
127,17.9,0.76,360,2,2060400
128,18.5,0.74,360,2,1999800
129,19.1,0.76,360,2,1858400
130,17.1,0.95,360,2,1757400
131,17.5,0.92,360,2,1010000
132,18.7,0.85,360,2,1696800
133,19,0.83,360,2,2343200
134,19.1,0.78,360,2,2141200
135,19.7,0.68,360,2,1252400
136,20.1,0.72,360,2,1171600
137,20.5,0.73,360,2,868600
138,19.8,0.76,360,2,606000
139,17.3,0.86,360,2,60600
140,17.4,0.77,360,2,0
141,16.8,0.74,360,2,0
142,15,0.85,360,2,0
143,15,0.84,360,2,0
144,14.3,0.95,360,1.7,0
145,13.8,0.96,360,1.7,0
146,13.5,0.96,360,1.7,0
147,13.9,0.97,360,1.7,0
148,14.5,0.97,360,1.7,80800
149,15,0.97,360,1.7,363600
150,17,0.85,360,1.7,1555400
151,19.1,0.76,360,1.7,3272400
