t,air_temperature,humidity,ambient_CO2,Wind,PARi
0,15.2,0.79,360,3.318,0
1,13.5,0.87,360,1.209,0
2,11.9,0.91,360,0.615,0
3,12.8,0.91,360,0.77,0
4,13.2,0.94,360,0.819,161600
5,15.8,0.81,360,1.018,565600
6,17.7,0.73,360,1.255,1454400
7,18.9,0.69,360,2.148,2626000
8,17.7,0.73,360,3.044,1373600
9,18.8,0.68,360,3.171,2262400
10,15.9,0.85,360,2.638,767600
11,15.7,0.88,360,4.193,1252400
12,16,0.89,360,3.542,1575600
13,16.4,0.87,360,2.301,1818000
14,14.2,0.92,360,1.88,525200
15,12.9,0.93,360,3.028,323200
16,13.1,0.94,360,2.85,363600
17,13.7,0.91,360,1.391,525200
18,13.1,0.97,360,0.457,161600
19,12.9,0.98,360,0.766,0
20,12.8,0.97,360,1.165,0
21,12.5,1,360,1.163,0
22,12.6,0.99,360,0.973,0
23,12.7,0.99,360,1.023,0
24,12.6,0.79,360,1.745,0
25,12.5,0.87,360,2.039,0
26,12.1,0.91,360,3.143,0
27,11.6,0.91,360,1.387,0
28,11.4,0.94,360,0.531,80800
29,11.9,0.81,360,0.569,282800
30,12.8,0.73,360,0.994,686800
31,12.9,0.69,360,1.28,525200
32,12.8,0.73,360,1.192,363600
33,13.1,0.68,360,1.389,727200
34,13,0.85,360,2.492,606000
35,13.8,0.88,360,3.261,848400
36,15,0.89,360,3.032,1696800
37,16,0.87,360,3.501,1414000
38,15.8,0.92,360,2.497,1333200
39,15.7,0.93,360,2.183,1090800
40,16.4,0.94,360,2.746,363600
41,16.6,0.91,360,1.347,242400
42,16.4,0.97,360,0.826,40400
43,13.7,0.98,360,2.783,40400
44,13.7,0.97,360,3.546,0
45,13.3,1,360,2.592,0
46,12.6,0.99,360,3.807,0
47,11.9,0.99,360,3.773,0
48,11.2,0.96,360,4.556,0
49,10.6,0.98,360,4.208,0
50,10,0.99,360,3.257,0
51,8.8,0.99,360,2.076,0
52,10.3,0.98,360,1.107,282800
53,12.3,0.91,360,1.158,1414000
54,11.7,0.92,360,2.275,767600
55,12.8,0.84,360,3.328,363600
56,12.2,0.92,360,4.387,606000
57,13.5,0.9,360,4.319,1535200
58,15.6,0.78,360,3.64,4484400
59,17,0.73,360,4.027,6342800
60,18.5,0.65,360,4.066,5898400
61,19.3,0.59,360,4.286,4040000
62,18.4,0.61,360,4.557,3918800
63,18.6,0.5,360,4.133,3151200
64,18.2,0.52,360,4.863,1373600
65,17.4,0.54,360,4.443,1535200
66,15.4,0.62,360,5.371,606000
67,14.3,0.7,360,4.916,121200
68,12.9,0.8,360,5.137,0
69,12.2,0.85,360,3.986,0
70,11.5,0.9,360,3.935,0
71,11,0.92,360,3.654,0
72,10.7,0.95,360,3.731,0
73,10.2,0.96,360,4.012,0
74,10.2,0.98,360,3.27,0
75,10.4,0.97,360,3,0
76,10.5,0.94,360,3.186,80800
77,11.4,0.93,360,3.573,888800
78,12,0.9,360,3.173,2020000
79,13,0.87,360,3.7,1616000
80,12.8,0.87,360,3.001,2262400
81,15,0.79,360,3.183,3716800
82,14.7,0.78,360,3.107,2464400
83,14.1,0.79,360,3.718,929200
84,15.4,0.75,360,3.496,3514800
85,16.2,0.72,360,4.041,2383600
86,16.4,0.67,360,3.366,3312800
87,16.7,0.7,360,3.199,2424000
88,15.9,0.68,360,3.269,2545200
89,15.1,0.75,360,2.55,525200
90,14.1,0.79,360,3.086,606000
91,13.6,0.78,360,2.795,80800
92,12.9,0.84,360,3.22,0
93,11.6,0.92,360,3.594,0
94,11.1,0.93,360,3.188,0
95,10.8,0.93,360,2.458,0
96,10.6,0.93,360,2.728,0
97,10.2,0.92,360,3.508,0
98,9.6,0.93,360,3.796,0
99,9,0.94,360,4.01,40400
100,8.6,0.97,360,3.7,80800
101,9.3,0.97,360,3.331,363600
102,10.7,0.89,360,2.495,1333200
103,12,0.84,360,3.693,3393600
104,13,0.78,360,4.043,3110800
105,12.8,0.79,360,4.036,2100800
106,13.4,0.78,360,4.263,3716800
107,12.6,0.89,360,4.874,2141200
108,14.8,0.79,360,4.636,5009600
109,14.4,0.84,360,4.804,2868400
110,15.4,0.77,360,5.089,3110800
111,13.8,0.91,360,3.949,2100800
112,15.3,0.83,360,4.141,2868400
113,15.5,0.78,360,3.672,2060400
114,12.9,0.85,360,3.421,565600
115,11.5,0.94,360,3.406,40400
116,11.2,0.93,360,3.367,0
117,10.2,0.96,360,2.755,0
118,9.8,0.96,360,1.716,0
119,9.5,0.96,360,1.668,0
120,8.3,0.97,360,1.607,0
121,8.2,0.99,360,0.645,0
122,7.1,1,360,0.237,0
123,7,1,360,0.974,0
124,7.6,1,360,0.927,363600
125,10.5,0.97,360,0.802,1171600
126,13.5,0.85,360,0.683,2343200
127,14.7,0.8,360,0.451,3474400
128,15.1,0.79,360,0.696,3474400
129,14.6,0.83,360,1.364,1333200
130,16.8,0.75,360,1.317,3676400
131,16.6,0.73,360,1.166,3151200
132,17.8,0.62,360,1.195,4120800
133,18.7,0.57,360,1.012,4686400
134,18.1,0.6,360,1.196,3918800
135,17.9,0.65,360,1.379,2787600
136,16.4,0.69,360,2.235,1333200
137,15.7,0.72,360,2.658,323200
138,13.6,0.91,360,1.9,40400
139,13.2,0.95,360,1.955,0
140,13.2,0.95,360,1.585,0
141,13.2,0.96,360,1.042,0
142,12.5,0.98,360,0.499,0
143,12.4,1,360,2.198,0
144,12.4,1,360,1.344,0
145,12.4,1,360,1.067,0
146,12.4,0.99,360,1.917,0
147,12.1,0.99,360,0.54,0
148,12.3,1,360,0.179,121200
149,12.7,1,360,0.094,565600
150,13.1,1,360,0.605,808000
151,13.6,0.98,360,1.161,767600
152,13.9,0.95,360,0.926,929200
153,14.3,0.94,360,1.227,1212000
154,15,0.9,360,0.615,1858400
155,15.7,0.87,360,1.087,1858400
156,15.3,0.9,360,1.254,1535200
157,13.8,0.96,360,1.084,242400
158,14.2,0.97,360,1.473,848400
159,14.6,0.92,360,1.105,1979600
160,14.9,0.93,360,1.406,1171600
161,14.6,0.92,360,1.469,1333200
162,13.9,0.95,360,1.77,282800
163,13.1,0.97,360,1.306,40400
164,12.2,0.99,360,1.157,0
165,11.9,1,360,2.178,0
166,11.7,1,360,2.042,0
167,11.7,1,360,2.245,0
168,11.7,1,360,2.336,0
169,11.5,1,360,2.502,0
170,11.6,1,360,2.864,0
171,11.7,1,360,2.509,0
172,11.7,1,360,2.851,0
173,11.8,1,360,3.16,121200
174,12,1,360,3.275,363600
175,12.6,0.96,360,3.37,888800
176,12.2,0.97,360,3.53,848400
177,12.9,0.95,360,3.455,1454400
178,13,0.93,360,3.949,1171600
179,14,0.89,360,3.861,1494800
180,14.6,0.86,360,3.952,2141200
181,15,0.83,360,4.197,2262400
182,14.8,0.84,360,4.071,1494800
183,14.9,0.82,360,4.228,929200
184,13.8,0.88,360,3.468,686800
185,12.8,0.93,360,3.685,565600
186,12.2,0.98,360,3.598,242400
187,11.9,0.99,360,2.933,40400
188,11.9,0.99,360,2.551,0
189,11.7,0.99,360,2.269,0
190,11.5,1,360,2.716,0
191,11.5,1,360,2.062,0
192,11.3,1,360,2.21,0
193,11.2,0.99,360,2.005,0
194,11.1,0.99,360,2.719,0
195,11,0.99,360,2.546,0
196,10.9,1,360,2.501,161600
197,10.8,0.99,360,2.192,202000
198,11.3,0.98,360,2.38,525200
199,11.3,0.98,360,2.295,646400
200,11.4,0.98,360,2.581,686800
201,12,0.96,360,2.845,929200
202,13.7,0.91,360,2.668,2020000
203,13.6,0.88,360,2.881,2424000
204,13.1,0.91,360,3.54,1696800
205,12.8,0.91,360,3.491,1939200
206,12.7,0.95,360,2.91,848400
207,12,0.99,360,2.359,808000
208,12,1,360,2.444,444400
209,11.9,1,360,1.5,161600
210,11.6,1,360,1.456,161600
211,11.5,1,360,1.26,80800
212,11.8,1,360,0.906,0
213,11.5,1,360,1.049,0
