t,An,Tr
0,-0.5939594845,4.38082786311624E-006
4,-0.5095082626,0.000000008
8,0.4629217645,8.63038480911899E-006
12,-0.0674403857,2.74143852109051E-006
16,-0.3755040469,8.14244153352638E-007
20,-0.5017881132,0
24,-0.5018761107,0
28,-0.4362844794,0
32,-0.2677394873,0
36,-0.2111309136,0.000000595
40,-0.1611374069,0
44,-0.5316254636,0.000000046
