t,An
0,0
1,0
2,0
3,0
4,0
5,0
6,7.7625
7,13.9725
8,20.1825
9,26.3925
10,32.6025
11,38.8125
12,38.8125
13,38.8125
14,38.8125
15,32.6025
16,26.3925
17,20.1825
18,13.9725
19,7.7625
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,7.7625
31,13.9725
32,20.1825
33,26.3925
34,32.6025
35,38.8125
36,38.8125
37,38.8125
38,38.8125
39,32.6025
40,26.3925
41,20.1825
42,13.9725
43,7.7625
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,7.7625
55,13.9725
56,20.1825
57,26.3925
58,32.6025
59,38.8125
60,38.8125
61,38.8125
62,38.8125
63,32.6025
64,26.3925
65,20.1825
66,13.9725
67,7.7625
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,7.7625
79,13.9725
80,20.1825
81,26.3925
82,32.6025
83,38.8125
84,38.8125
85,38.8125
86,38.8125
87,32.6025
88,26.3925
89,20.1825
90,13.9725
91,7.7625
92,0
93,0
94,0
95,0
96,0
97,0
