t,plant,axis,phytomer
20.000000,1,MS,6
21.000000,1,MS,1
21.000000,1,MS,2
21.000000,1,MS,3
21.000000,1,MS,4
21.000000,1,MS,5
21.000000,1,MS,6
22.000000,1,MS,1
22.000000,1,MS,2
22.000000,1,MS,3
22.000000,1,MS,4
22.000000,1,MS,5
22.000000,1,MS,6
23.000000,1,MS,1
23.000000,1,MS,2
23.000000,1,MS,3
23.000000,1,MS,4
23.000000,1,MS,5
23.000000,1,MS,6
24.000000,1,MS,1
24.000000,1,MS,2
24.000000,1,MS,3
24.000000,1,MS,4
24.000000,1,MS,5
24.000000,1,MS,6
25.000000,1,MS,1
25.000000,1,MS,2
25.000000,1,MS,3
25.000000,1,MS,4
25.000000,1,MS,5
25.000000,1,MS,6
26.000000,1,MS,1
26.000000,1,MS,2
26.000000,1,MS,3
26.000000,1,MS,4
26.000000,1,MS,5
26.000000,1,MS,6
27.000000,1,MS,1
27.000000,1,MS,2
27.000000,1,MS,3
27.000000,1,MS,4
27.000000,1,MS,5
27.000000,1,MS,6
28.000000,1,MS,1
28.000000,1,MS,2
28.000000,1,MS,3
28.000000,1,MS,4
28.000000,1,MS,5
28.000000,1,MS,6
29.000000,1,MS,1
29.000000,1,MS,2
29.000000,1,MS,3
29.000000,1,MS,4
29.000000,1,MS,5
29.000000,1,MS,6
30.000000,1,MS,1
30.000000,1,MS,2
30.000000,1,MS,3
30.000000,1,MS,4
30.000000,1,MS,5
30.000000,1,MS,6
31.000000,1,MS,1
31.000000,1,MS,2
31.000000,1,MS,3
31.000000,1,MS,4
31.000000,1,MS,5
31.000000,1,MS,6
32.000000,1,MS,1
32.000000,1,MS,2
32.000000,1,MS,3
32.000000,1,MS,4
32.000000,1,MS,5
32.000000,1,MS,6
33.000000,1,MS,1
33.000000,1,MS,2
33.000000,1,MS,3
33.000000,1,MS,4
33.000000,1,MS,5
33.000000,1,MS,6
34.000000,1,MS,1
34.000000,1,MS,2
34.000000,1,MS,3
34.000000,1,MS,4
34.000000,1,MS,5
34.000000,1,MS,6
35.000000,1,MS,1
35.000000,1,MS,2
