t,plant,axis,organ,mstruct,Nstruct,age_from_flowering,amino_acids,cytokinins,nitrates,proteins,starch,structure,sucrose,C_exudation,HATS_LATS,N_exudation,RGR_Structure,R_Nnit_red,R_Nnit_upt,Respi_growth,R_grain_growth_starch,R_grain_growth_struct,R_residual,regul_transpiration,sum_respi,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,S_Amino_Acids,S_cytokinins,S_grain_starch,S_grain_structure,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,Total_Organic_Nitrogen
0,1,MS,phloem,NA,NA,NA,100,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,MS,roots,0.150009736,0.0045001950000000002,NA,20,2.233310479,7.5,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.44250000000005
4,1,MS,phloem,NA,NA,NA,84.526866011801872,NA,NA,NA,NA,NA,465.53159846182189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,MS,roots,0.150009736,0.0045001950000000002,NA,18.632499558321779,1.995066187838471,8.4661739794730089,NA,NA,NA,25.592582421839204,25.592582421839204,50.674569032460923,18.632499558321779,NA,0.33272064224376546,0.49377296334710918,NA,NA,NA,0.46712997039731385,0.15667413949039791,1.2936235759881884,0.63055386032874139,0.0047751498828357527,0.22505420030830633,1.1201988143352386,1.0611172344505669e-09,NA,NA,NA,12.827062857182066,70.645031067879501,1.2437606129650105,340.07499955832185
8,1,MS,phloem,NA,NA,NA,77.034759631627054,NA,NA,NA,NA,NA,440.30722600648079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,MS,roots,0.15012436000000001,0.0045024870000000003,NA,17.711654403410368,1.6831375525866272,9.6237177662879159,NA,NA,NA,29.929603521205731,29.929603521205731,49.893621603546848,17.711654403410368,NA,0.37097476145557318,0.5642257662831881,NA,NA,NA,0.53558163846322704,0.060510130859810579,1.4707821662019884,0.23149465754992596,0.0020963967170254767,0.073329748964696254,1.2480385637222891,5.3625506819510428e-09,NA,NA,NA,12.116934214061834,69.25670589496066,1.4212235926528667,339.31786868912468
12,1,MS,phloem,NA,NA,NA,72.716530578674224,NA,NA,NA,NA,NA,421.67396369009163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,MS,roots,0.15031046300000001,0.0045062090000000006,NA,16.244910685001017,1.0521272308263003,10.906291986883314,NA,NA,NA,33.305349168847286,33.305349168847286,49.064392473022011,16.244910685001017,NA,0.39885207101504344,0.61342043699602367,NA,NA,NA,0.587129590204852,0.24659046595095505,1.5994020982159189,0.86526146055154662,0.0096817954422338051,0.18680007174418473,1.3401624603244524,1.6357684154892391e-08,NA,NA,NA,11.751596560627632,68.1460221214125,1.5451396397884727,338.11698211357248
16,1,MS,phloem,NA,NA,NA,70.295235060180559,NA,NA,NA,NA,NA,419.88529184368196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,MS,roots,0.150537845,0.0045107569999999998,NA,13.619720202751006,0.18302570020073164,12.260338081444592,NA,NA,NA,35.965354060623007,35.965354060623007,48.215864329263596,13.619720202751006,NA,0.4198474943765792,0.64731537112312587,NA,NA,NA,0.62520588317623593,0.73124988554883341,1.6923687486759409,2.1512344693252623,0.032275334947846901,0.096363016073481689,1.4085772855263099,3.6650946717568863e-08,NA,NA,NA,11.384421254512748,68.001067737097102,1.6305173076149266,335.81664877417955
