t,plant,axis,phytomer,organ,element,green_area
0.0,1.0,MS,1,Internode,exposed,0.000371
0.0,1.0,MS,1,Internode,enclosed,0.001129
0.0,1.0,MS,1,Lamina,exposed,0.00346
0.0,1.0,MS,1,Sheath,exposed,0.0006
0.0,1.0,MS,2,Internode,enclosed,0.0004
0.0,1.0,MS,2,Lamina,exposed,0.0034
0.0,1.0,MS,2,Sheath,exposed,0.0005
0.0,1.0,MS,3,Internode,enclosed,0.00025
0.0,1.0,MS,3,Lamina,exposed,0.00228
0.0,1.0,MS,3,Sheath,exposed,0.0003232
0.0,1.0,MS,4,Peduncle,exposed,0.000810959
0.0,1.0,MS,4,Peduncle,enclosed,0.00159
0.0,1.0,MS,5,Chaff,exposed,0.00075
1.0,1.0,MS,1,Internode,exposed,0.000371
1.0,1.0,MS,1,Internode,enclosed,0.001129
1.0,1.0,MS,1,Lamina,exposed,0.00346
1.0,1.0,MS,1,Sheath,exposed,0.0006
1.0,1.0,MS,2,Internode,enclosed,0.0004
1.0,1.0,MS,2,Lamina,exposed,0.0034
1.0,1.0,MS,2,Sheath,exposed,0.0005
1.0,1.0,MS,3,Internode,enclosed,0.00025
1.0,1.0,MS,3,Lamina,exposed,0.00228
1.0,1.0,MS,3,Sheath,exposed,0.0003232
1.0,1.0,MS,4,Peduncle,exposed,0.000810959
1.0,1.0,MS,4,Peduncle,enclosed,0.00159
1.0,1.0,MS,5,Chaff,exposed,0.00075
2.0,1.0,MS,1,Internode,exposed,0.000371
2.0,1.0,MS,1,Internode,enclosed,0.001129
2.0,1.0,MS,1,Lamina,exposed,0.00346
2.0,1.0,MS,1,Sheath,exposed,0.0006
2.0,1.0,MS,2,Internode,enclosed,0.0004
2.0,1.0,MS,2,Lamina,exposed,0.0034
2.0,1.0,MS,2,Sheath,exposed,0.0005
2.0,1.0,MS,3,Internode,enclosed,0.00025
2.0,1.0,MS,3,Lamina,exposed,0.00228
2.0,1.0,MS,3,Sheath,exposed,0.0003232
2.0,1.0,MS,4,Peduncle,exposed,0.000810959
2.0,1.0,MS,4,Peduncle,enclosed,0.00159
2.0,1.0,MS,5,Chaff,exposed,0.00075
3.0,1.0,MS,1,Internode,exposed,0.000371
3.0,1.0,MS,1,Internode,enclosed,0.001129
3.0,1.0,MS,1,Lamina,exposed,0.00346
3.0,1.0,MS,1,Sheath,exposed,0.0006
3.0,1.0,MS,2,Internode,enclosed,0.0004
