plant,axis,phytomer,organ,volume,Tsoil,mstruct_C_growth,Nstruct_N_growth,mstruct_death,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinines,label
1,MS,NA,Grains,NA,NA,NA,NA,NA,NA,NA,NA,4000.00000,0.00000,170.00000,NA,NA,NA,grains
1,MS,NA,Phloem,NA,NA,NA,NA,NA,0.00000,0.00000,NA,NA,NA,NA,NA,NA,NA,phloem
1,MS,NA,Roots,NA,NA,NA,NA,NA,900.00000,60.00000,250.00000,NA,NA,NA,0.50400,0.01000,25.00000,roots
1,MS,NA,Soil,0.00875,15.00000,NA,NA,NA,NA,NA,1875.00000,NA,NA,NA,NA,NA,NA,soil
