t,air_temperature,humidity,ambient_CO2,Wind,PARi
0,15.2,0.79,360,3.318,0
1,13.5,0.87,360,1.209,0
2,11.9,0.91,360,0.615,0
3,12.8,0.91,360,0.77,0
4,13.2,0.94,360,0.819,161600
5,15.8,0.81,360,1.018,565600
6,17.7,0.73,360,1.255,1454400
7,18.9,0.69,360,2.148,2626000
8,17.7,0.73,360,3.044,1373600
9,18.8,0.68,360,3.171,2262400
10,15.9,0.85,360,2.638,767600
11,15.7,0.88,360,4.193,1252400
12,16,0.89,360,3.542,1575600
13,16.4,0.87,360,2.301,1818000
14,14.2,0.92,360,1.88,525200
15,12.9,0.93,360,3.028,323200
16,13.1,0.94,360,2.85,363600
17,13.7,0.91,360,1.391,525200
18,13.1,0.97,360,0.457,161600
19,12.9,0.98,360,0.766,0
20,12.8,0.97,360,1.165,0
21,12.5,1,360,1.163,0
22,12.6,0.99,360,0.973,0
23,12.7,0.99,360,1.023,0
24,15.2,0.79,360,3.318,0
25,13.5,0.87,360,1.209,0
26,11.9,0.91,360,0.615,0
27,12.8,0.91,360,0.77,0
28,13.2,0.94,360,0.819,161600
29,15.8,0.81,360,1.018,565600
30,17.7,0.73,360,1.255,1454400
31,18.9,0.69,360,2.148,2626000
32,17.7,0.73,360,3.044,1373600
33,18.8,0.68,360,3.171,2262400
34,15.9,0.85,360,2.638,767600
35,15.7,0.88,360,4.193,1252400
36,16,0.89,360,3.542,1575600
37,16.4,0.87,360,2.301,1818000
38,14.2,0.92,360,1.88,525200
39,12.9,0.93,360,3.028,323200
40,13.1,0.94,360,2.85,363600
41,13.7,0.91,360,1.391,525200
42,13.1,0.97,360,0.457,161600
43,12.9,0.98,360,0.766,0
44,12.8,0.97,360,1.165,0
45,12.5,1,360,1.163,0
46,12.6,0.99,360,0.973,0
47,12.7,0.99,360,1.023,0
48,15.2,0.79,360,3.318,0
49,13.5,0.87,360,1.209,0
50,11.9,0.91,360,0.615,0
51,12.8,0.91,360,0.77,0
52,13.2,0.94,360,0.819,161600
53,15.8,0.81,360,1.018,565600
54,17.7,0.73,360,1.255,1454400
55,18.9,0.69,360,2.148,2626000
56,17.7,0.73,360,3.044,1373600
57,18.8,0.68,360,3.171,2262400
58,15.9,0.85,360,2.638,767600
59,15.7,0.88,360,4.193,1252400
60,16,0.89,360,3.542,1575600
61,16.4,0.87,360,2.301,1818000
62,14.2,0.92,360,1.88,525200
63,12.9,0.93,360,3.028,323200
64,13.1,0.94,360,2.85,363600
65,13.7,0.91,360,1.391,525200
66,13.1,0.97,360,0.457,161600
67,12.9,0.98,360,0.766,0
68,12.8,0.97,360,1.165,0
69,12.5,1,360,1.163,0
70,12.6,0.99,360,0.973,0
71,12.7,0.99,360,1.023,0
72,15.2,0.79,360,3.318,0
73,13.5,0.87,360,1.209,0
74,11.9,0.91,360,0.615,0
75,12.8,0.91,360,0.77,0
76,13.2,0.94,360,0.819,161600
77,15.8,0.81,360,1.018,565600
78,17.7,0.73,360,1.255,1454400
79,18.9,0.69,360,2.148,2626000
80,17.7,0.73,360,3.044,1373600
81,18.8,0.68,360,3.171,2262400
82,15.9,0.85,360,2.638,767600
83,15.7,0.88,360,4.193,1252400
84,16,0.89,360,3.542,1575600
85,16.4,0.87,360,2.301,1818000
86,14.2,0.92,360,1.88,525200
87,12.9,0.93,360,3.028,323200
88,13.1,0.94,360,2.85,363600
89,13.7,0.91,360,1.391,525200
90,13.1,0.97,360,0.457,161600
91,12.9,0.98,360,0.766,0
92,12.8,0.97,360,1.165,0
93,12.5,1,360,1.163,0
94,12.6,0.99,360,0.973,0
95,12.7,0.99,360,1.023,0
96,15.2,0.79,360,3.318,0
97,13.5,0.87,360,1.209,0
98,11.9,0.91,360,0.615,0
99,12.8,0.91,360,0.77,0
100,13.2,0.94,360,0.819,161600
101,15.8,0.81,360,1.018,565600
102,17.7,0.73,360,1.255,1454400
103,18.9,0.69,360,2.148,2626000
104,17.7,0.73,360,3.044,1373600
105,18.8,0.68,360,3.171,2262400
106,15.9,0.85,360,2.638,767600
107,15.7,0.88,360,4.193,1252400
108,16,0.89,360,3.542,1575600
109,16.4,0.87,360,2.301,1818000
110,14.2,0.92,360,1.88,525200
111,12.9,0.93,360,3.028,323200
112,13.1,0.94,360,2.85,363600
113,13.7,0.91,360,1.391,525200
114,13.1,0.97,360,0.457,161600
115,12.9,0.98,360,0.766,0
116,12.8,0.97,360,1.165,0
117,12.5,1,360,1.163,0
118,12.6,0.99,360,0.973,0
119,12.7,0.99,360,1.023,0
120,15.2,0.79,360,3.318,0
121,13.5,0.87,360,1.209,0
122,11.9,0.91,360,0.615,0
123,12.8,0.91,360,0.77,0
124,13.2,0.94,360,0.819,161600
125,15.8,0.81,360,1.018,565600
126,17.7,0.73,360,1.255,1454400
127,18.9,0.69,360,2.148,2626000
128,17.7,0.73,360,3.044,1373600
129,18.8,0.68,360,3.171,2262400
130,15.9,0.85,360,2.638,767600
131,15.7,0.88,360,4.193,1252400
132,16,0.89,360,3.542,1575600
133,16.4,0.87,360,2.301,1818000
134,14.2,0.92,360,1.88,525200
135,12.9,0.93,360,3.028,323200
136,13.1,0.94,360,2.85,363600
137,13.7,0.91,360,1.391,525200
138,13.1,0.97,360,0.457,161600
139,12.9,0.98,360,0.766,0
140,12.8,0.97,360,1.165,0
141,12.5,1,360,1.163,0
142,12.6,0.99,360,0.973,0
143,12.7,0.99,360,1.023,0
144,15.2,0.79,360,3.318,0
145,13.5,0.87,360,1.209,0
146,11.9,0.91,360,0.615,0
147,12.8,0.91,360,0.77,0
148,13.2,0.94,360,0.819,161600
149,15.8,0.81,360,1.018,565600
150,17.7,0.73,360,1.255,1454400
151,18.9,0.69,360,2.148,2626000
152,17.7,0.73,360,3.044,1373600
153,18.8,0.68,360,3.171,2262400
154,15.9,0.85,360,2.638,767600
155,15.7,0.88,360,4.193,1252400
156,16,0.89,360,3.542,1575600
157,16.4,0.87,360,2.301,1818000
158,14.2,0.92,360,1.88,525200
159,12.9,0.93,360,3.028,323200
160,13.1,0.94,360,2.85,363600
161,13.7,0.91,360,1.391,525200
162,13.1,0.97,360,0.457,161600
163,12.9,0.98,360,0.766,0
164,12.8,0.97,360,1.165,0
165,12.5,1,360,1.163,0
166,12.6,0.99,360,0.973,0
167,12.7,0.99,360,1.023,0
168,15.2,0.79,360,3.318,0
169,13.5,0.87,360,1.209,0
170,11.9,0.91,360,0.615,0
171,12.8,0.91,360,0.77,0
172,13.2,0.94,360,0.819,161600
173,15.8,0.81,360,1.018,565600
174,17.7,0.73,360,1.255,1454400
175,18.9,0.69,360,2.148,2626000
176,17.7,0.73,360,3.044,1373600
177,18.8,0.68,360,3.171,2262400
178,15.9,0.85,360,2.638,767600
179,15.7,0.88,360,4.193,1252400
180,16,0.89,360,3.542,1575600
181,16.4,0.87,360,2.301,1818000
182,14.2,0.92,360,1.88,525200
183,12.9,0.93,360,3.028,323200
184,13.1,0.94,360,2.85,363600
185,13.7,0.91,360,1.391,525200
186,13.1,0.97,360,0.457,161600
187,12.9,0.98,360,0.766,0
188,12.8,0.97,360,1.165,0
189,12.5,1,360,1.163,0
190,12.6,0.99,360,0.973,0
191,12.7,0.99,360,1.023,0
192,15.2,0.79,360,3.318,0
193,13.5,0.87,360,1.209,0
194,11.9,0.91,360,0.615,0
195,12.8,0.91,360,0.77,0
196,13.2,0.94,360,0.819,161600
197,15.8,0.81,360,1.018,565600
198,17.7,0.73,360,1.255,1454400
199,18.9,0.69,360,2.148,2626000
200,17.7,0.73,360,3.044,1373600
201,18.8,0.68,360,3.171,2262400
202,15.9,0.85,360,2.638,767600
203,15.7,0.88,360,4.193,1252400
204,16,0.89,360,3.542,1575600
205,16.4,0.87,360,2.301,1818000
206,14.2,0.92,360,1.88,525200
207,12.9,0.93,360,3.028,323200
208,13.1,0.94,360,2.85,363600
209,13.7,0.91,360,1.391,525200
210,13.1,0.97,360,0.457,161600
