t,plant,axis,phytomer,organ,element,exposed,nitrates,starch,amino_acids,proteins,sucrose,triosesP,fructan,Loading_Sucrose,Regul_S_Fructan,An,Tr,Photosynthesis,Transpiration,Conc_TriosesP,Conc_Starch,Conc_Sucrose,Conc_Fructan,Conc_Nitrates,Conc_Amino_Acids,Conc_Proteins,S_Starch,D_Starch,S_Sucrose,S_Fructan,D_Fructan,Nitrates_import,Amino_Acids_import,S_Amino_Acids,S_Proteins,D_Proteins,Loading_Amino_Acids
0.000000,1,MS,1,Internode,1,False,0.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.583026,0.000005,-2.518672,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013048,0.000000,0.000000,0.000000,0.000000,0.000000,0.138462,0.000000,0.000000,0.000000,0.900000,0.000000
0.000000,1,MS,1,Internode,2,True,0.000000,0.000000,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.586644,0.000005,-0.633576,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.217241,0.000000,0.000000,0.000000,0.000000,0.000000,0.034616,0.000000,0.000000,0.000000,14.985000,0.000000
0.000000,1,MS,1,Lamina,1,True,0.000000,0.000000,0.000000,380.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.598313,0.000005,-7.452587,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262069,0.000000,0.000000,0.000000,0.000000,0.000000,0.399233,0.000000,0.000000,0.000000,18.077143,0.000000
0.000000,1,MS,1,Sheath,1,True,0.000000,0.000000,0.000000,130.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.589802,0.000005,-1.273972,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121861,0.000000,0.000000,0.000000,0.000000,0.000000,0.069231,0.000000,0.000000,0.000000,8.405825,0.000000
0.000000,1,MS,2,Internode,1,True,0.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.577660,0.000005,-0.831830,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010728,0.000000,0.000000,0.000000,0.000000,0.000000,0.046154,0.000000,0.000000,0.000000,0.740000,0.000000
0.000000,1,MS,2,Lamina,1,True,0.000000,0.000000,0.000000,210.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.595627,0.000005,-7.290474,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.225287,0.000000,0.000000,0.000000,0.000000,0.000000,0.392310,0.000000,0.000000,0.000000,15.540000,0.000000
0.000000,1,MS,2,Sheath,1,True,0.000000,0.000000,0.000000,47.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.582734,0.000005,-1.048921,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065767,0.000000,0.000000,0.000000,0.000000,0.000000,0.057693,0.000000,0.000000,0.000000,4.536522,0.000000
0.000000,1,MS,3,Internode,1,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.573972,0.000005,-0.516575,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028846,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,1,MS,3,Lamina,1,True,0.000000,0.000000,0.000000,85.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.593251,0.000005,-4.869404,0.000041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.164138,0.000000,0.000000,0.000000,0.000000,0.000000,0.263078,0.000000,0.000000,0.000000,11.322000,0.000000
0.000000,1,MS,3,Sheath,1,True,0.000000,0.000000,0.000000,13.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.578701,0.000005,-0.833329,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029190,0.000000,0.000000,0.000000,0.000000,0.000000,0.046154,0.000000,0.000000,0.000000,2.013488,0.000000
0.000000,1,MS,4,Peduncle,1,False,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.595955,0.000005,-3.325429,0.000028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017241,0.000000,0.000000,0.000000,0.000000,0.000000,0.178847,0.000000,0.000000,0.000000,1.189286,0.000000
0.000000,1,MS,4,Peduncle,2,True,0.000000,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.592480,0.000005,-1.812989,0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.195273,0.000000,0.000000,0.000000,0.000000,0.000000,0.098077,0.000000,0.000000,0.000000,13.469663,0.000000
0.000000,1,MS,5,Chaff,1,True,0.000000,0.000000,0.000000,260.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.599410,0.000005,-1.618407,0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119540,0.000000,0.000000,0.000000,0.000000,0.000000,0.086539,0.000000,0.000000,0.000000,8.245714,0.000000
1.000000,1,MS,1,Internode,1,False,0.134151,0.000000,0.128087,19.871877,0.000000,0.000000,0.000000,0.000000,1.000000,-0.583026,0.000005,-2.518672,0.000022,0.000000,0.000000,0.000000,0.000000,0.906425,0.739704,0.012964,0.000000,0.000000,0.000000,0.000000,0.000000,0.130019,0.000008,0.000000,0.061778,0.894234,0.000741
1.000000,1,MS,1,Internode,2,True,0.033538,0.000000,0.577065,89.421746,0.000000,0.000000,0.000000,0.000000,1.000000,-0.586644,0.000005,-0.633576,0.000005,0.000000,0.000000,0.000000,0.000000,0.838443,12.330440,0.215846,0.000000,0.000000,0.000000,0.000000,0.000000,0.032505,0.000002,0.000000,0.907758,14.888721,0.087539
