t,plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,Conc_C_Sucrose,Unloading_Sucrose,Export_Amino_Acids,Conc_Nitrates_Soil,Potential_Uptake_Nitrates,S_Proteins,Conc_Nitrates,S_Amino_Acids,Conc_Amino_Acids,Dry_Mass,Unloading_Amino_Acids,S_grain_starch,Conc_Sucrose,Uptake_Nitrates,S_grain_structure,Proteins_N_Mass,RGR_Structure
0.000000,1,MS,Grains,NA,NA,NA,10850.000000,0.000000,170.000000,NA,0.000000,NA,NA,NA,0.000000,NA,NA,NA,0.130200,NA,0.000000,NA,NA,0.000000,0.002380,0.000000
0.000000,1,MS,Phloem,0.000000,0.000000,NA,NA,NA,NA,0.000000,NA,NA,NA,NA,NA,NA,NA,0.000000,NA,NA,NA,0.000000,NA,NA,NA,NA
0.000000,1,MS,Roots,0.000000,0.000000,0.000000,NA,NA,NA,NA,0.000000,0.000000,50000000.000000,0.000000,NA,0.000000,0.000000,0.000000,NA,0.000000,NA,0.000000,18.392402,NA,NA,NA
1.000000,1,MS,Grains,NA,NA,NA,10850.000000,0.000000,170.000000,NA,0.000000,NA,NA,NA,0.000000,NA,NA,NA,0.130200,NA,0.000000,NA,NA,0.000000,0.002380,0.000000
1.000000,1,MS,Phloem,0.000000,0.032544,NA,NA,NA,NA,0.000000,NA,NA,NA,NA,NA,NA,NA,0.013373,NA,NA,NA,0.000000,NA,NA,NA,NA
1.000000,1,MS,Roots,0.000000,0.000051,16.037734,NA,NA,NA,NA,0.000000,0.000100,49947917.000000,0.000100,NA,31.820900,0.000000,0.000086,NA,0.000563,NA,0.000000,17.270839,NA,NA,NA
2.000000,1,MS,Grains,NA,NA,NA,10850.000000,0.000000,170.000000,NA,0.000000,NA,NA,NA,0.000000,NA,NA,NA,0.130200,NA,0.000000,NA,NA,0.000000,0.002380,0.000000
2.000000,1,MS,Phloem,0.000000,0.243481,NA,NA,NA,NA,0.000000,NA,NA,NA,NA,NA,NA,NA,0.100050,NA,NA,NA,0.000000,NA,NA,NA,NA
2.000000,1,MS,Roots,0.000000,0.000578,31.126573,NA,NA,NA,NA,0.000000,0.001146,49895834.000000,0.001146,NA,61.759073,0.000000,0.000979,NA,0.004209,NA,0.000000,16.279688,NA,NA,NA
3.000000,1,MS,Grains,NA,NA,NA,10850.000000,0.000000,170.000000,NA,0.000000,NA,NA,NA,0.000000,NA,NA,NA,0.130200,NA,0.000000,NA,NA,0.000000,0.002380,0.000000
3.000000,1,MS,Phloem,0.000000,0.765046,NA,NA,NA,NA,0.000000,NA,NA,NA,NA,NA,NA,NA,0.314368,NA,NA,NA,0.000000,NA,NA,NA,NA
3.000000,1,MS,Roots,0.000000,0.002185,45.373765,NA,NA,NA,NA,0.000000,0.004335,49843751.000000,0.004335,NA,90.027311,0.000000,0.003705,NA,0.013193,NA,0.000000,15.397327,NA,NA,NA
4.000000,1,MS,Grains,NA,NA,NA,10850.000000,0.000000,170.000000,NA,0.000000,NA,NA,NA,0.000000,NA,NA,NA,0.130200,NA,0.000000,NA,NA,0.000000,0.002380,0.000000
4.000000,1,MS,Phloem,0.000000,1.681158,NA,NA,NA,NA,0.000000,NA,NA,NA,NA,NA,NA,NA,0.690811,NA,NA,NA,0.000000,NA,NA,NA,NA
4.000000,1,MS,Roots,0.000000,0.005320,50.477560,NA,NA,NA,NA,0.000000,0.010554,49791668.000000,0.010554,NA,100.153888,0.000000,0.009021,NA,0.028864,NA,0.000000,5.613504,NA,NA,NA
5.000000,1,MS,Grains,NA,NA,NA,10850.000000,0.000000,170.000000,NA,0.000000,NA,NA,NA,0.000000,NA,NA,NA,0.130200,NA,0.000000,NA,NA,0.000000,0.002380,0.000000
5.000000,1,MS,Phloem,0.000000,3.032798,NA,NA,NA,NA,0.000000,NA,NA,NA,NA,NA,NA,NA,1.246219,NA,NA,NA,0.000000,NA,NA,NA,NA
5.000000,1,MS,Roots,0.000000,0.010216,55.479438,NA,NA,NA,NA,0.000000,0.020269,49739585.000000,0.020269,NA,110.078251,0.000000,0.017325,NA,0.051736,NA,0.000000,5.502518,NA,NA,NA
6.000000,1,MS,Grains,NA,NA,NA,10850.000000,0.000000,170.000000,NA,0.000000,NA,NA,NA,0.000000,NA,NA,NA,0.130200,NA,0.000000,NA,NA,0.000000,0.002380,0.000000
6.000000,1,MS,Phloem,0.000000,4.826097,NA,NA,NA,NA,0.000000,NA,NA,NA,NA,NA,NA,NA,1.983110,NA,NA,NA,0.000000,NA,NA,NA,NA
6.000000,1,MS,Roots,0.000000,0.016919,58.187014,NA,NA,NA,NA,0.000000,0.033564,49687502.000000,0.033564,NA,115.450425,0.000000,0.028692,NA,0.081634,NA,0.000000,2.991750,NA,NA,NA
7.000000,1,MS,Grains,NA,NA,NA,10850.000000,0.000000,170.000000,NA,0.000000,NA,NA,NA,0.000000,NA,NA,NA,0.130200,NA,0.000000,NA,NA,0.000000,0.002380,0.000000
7.000000,1,MS,Phloem,0.000000,7.041661,NA,NA,NA,NA,0.000000,NA,NA,NA,NA,NA,NA,NA,2.893516,NA,NA,NA,0.000000,NA,NA,NA,NA
7.000000,1,MS,Roots,0.000000,0.025319,60.864803,NA,NA,NA,NA,0.000000,0.050228,49635419.000000,0.050228,NA,120.763497,0.000000,0.042938,NA,0.117884,NA,0.000000,2.959009,NA,NA,NA
8.000000,1,MS,Grains,NA,NA,NA,10850.010226,0.000000,171.007429,NA,0.005018,NA,NA,NA,1.194409,NA,NA,NA,0.130200,NA,0.000000,NA,NA,0.060210,0.002394,0.000000
8.000000,1,MS,Phloem,0.506665,10.050872,NA,NA,NA,NA,0.243589,NA,NA,NA,NA,NA,NA,NA,4.130043,NA,NA,NA,0.020299,NA,NA,NA,NA
8.000000,1,MS,Roots,0.004024,0.039747,86.714650,NA,NA,NA,NA,0.174958,0.078862,49583336.000000,0.078862,NA,172.052878,0.046960,0.067404,NA,0.165939,NA,0.000665,27.338215,NA,NA,NA
9.000000,1,MS,Grains,NA,NA,NA,10850.191124,0.000000,172.409167,NA,0.042924,NA,NA,NA,1.614867,NA,NA,NA,0.130202,NA,0.000000,NA,NA,0.515083,0.002414,0.000000
9.000000,1,MS,Phloem,4.361066,13.672643,NA,NA,NA,NA,2.096667,NA,NA,NA,NA,NA,NA,NA,5.618279,NA,NA,NA,0.174722,NA,NA,NA,NA
9.000000,1,MS,Roots,0.037976,0.107367,110.121460,NA,NA,NA,NA,1.478599,0.213026,49531253.000000,0.213026,NA,218.494960,0.435041,0.182076,NA,0.222046,NA,0.006279,24.976974,NA,NA,NA
10.000000,1,MS,Grains,NA,NA,NA,10851.478699,0.000000,174.236862,NA,0.321691,NA,NA,NA,2.026571,NA,NA,NA,0.130218,NA,0.000000,NA,NA,3.860288,0.002439,0.000000
10.000000,1,MS,Phloem,34.233776,17.972024,NA,NA,NA,NA,16.458546,NA,NA,NA,NA,NA,NA,NA,7.384954,NA,NA,NA,1.371546,NA,NA,NA,NA
10.000000,1,MS,Roots,0.295332,0.454818,149.101157,NA,NA,NA,NA,10.175426,0.902409,49479170.000000,0.902409,NA,295.835630,2.911807,0.771296,NA,0.286315,NA,0.048831,40.950222,NA,NA,NA
11.000000,1,MS,Grains,NA,NA,NA,10857.242272,0.000000,176.412190,NA,1.003117,NA,NA,NA,2.298159,NA,NA,NA,0.130287,NA,0.000000,NA,NA,12.037402,0.002470,0.000000
11.000000,1,MS,Phloem,120.710361,23.045807,NA,NA,NA,NA,58.033827,NA,NA,NA,NA,NA,NA,NA,9.469842,NA,NA,NA,4.836152,NA,NA,NA,NA
11.000000,1,MS,Roots,1.142572,1.459090,181.059377,NA,NA,NA,NA,26.440134,2.894997,49427087.000000,2.894997,NA,359.244795,7.683335,2.474376,NA,0.359084,NA,0.188917,36.252289,NA,NA,NA
12.000000,1,MS,Grains,NA,NA,NA,10869.694997,0.000000,178.797036,NA,1.748941,NA,NA,NA,2.461716,NA,NA,NA,0.130436,NA,0.000000,NA,NA,20.987293,0.002503,0.000001
12.000000,1,MS,Phloem,245.422081,28.786911,NA,NA,NA,NA,117.991385,NA,NA,NA,NA,NA,NA,NA,11.828941,NA,NA,NA,9.832615,NA,NA,NA,NA
12.000000,1,MS,Roots,2.614452,2.525831,192.625552,NA,NA,NA,NA,38.971172,5.011487,49375004.000000,5.011487,NA,382.193555,11.315682,4.283393,NA,0.437663,NA,0.432284,17.866144,NA,NA,NA
13.000000,1,MS,Grains,NA,NA,NA,10888.352833,0.000000,181.326304,NA,2.374762,NA,NA,NA,2.595681,NA,NA,NA,0.130660,NA,0.000000,NA,NA,28.497143,0.002539,0.000001
13.000000,1,MS,Phloem,386.744896,35.226917,NA,NA,NA,NA,185.935046,NA,NA,NA,NA,NA,NA,NA,14.475229,NA,NA,NA,15.494587,NA,NA,NA,NA
13.000000,1,MS,Roots,4.639937,3.263575,202.111586,NA,NA,NA,NA,46.819456,6.475241,49322921.000000,6.475241,NA,401.015051,13.475219,5.534485,NA,0.521393,NA,0.767185,17.225344,NA,NA,NA
