plant,axis,organ,mstruct_C_growth,Nstruct_N_growth,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins
1,MS,phloem,NA,NA,500,100,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,0,0,7.5,7.5,7.5,NA,NA,NA,0.15,0.0045,2.5
