plant,axis,metamer,sucrose,fructan,mstruct,amino_acids,proteins
1,MS,4,10,0.15,5.00E-03,1.5,0.5
1,MS,5,0.03,0.03,1.30E-05,0.003,150
1,MS,6,0.001,0,6.39E-08,0.0002,0
