t,plant,axis,phytomer,organ,element,exposed,nitrates,starch,amino_acids,proteins,sucrose,triosesP,fructan,Loading_Sucrose,Regul_S_Fructan,An,Tr,Photosynthesis,Transpiration,Conc_TriosesP,Conc_Starch,Conc_Sucrose,Conc_Fructan,Conc_Nitrates,Conc_Amino_Acids,Conc_Proteins,S_Starch,D_Starch,S_Sucrose,S_Fructan,D_Fructan,Nitrates_import,Amino_Acids_import,S_Amino_Acids,S_Proteins,D_Proteins,Loading_Amino_Acids
0.000000,1,MS,1,Internode,1,False,0.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.583026,0.000005,-2.518674,0.000023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013048,0.000000,0.000000,0.000000,0.000000,0.000000,0.144550,0.000000,0.000000,0.000000,0.900000,0.000000
0.000000,1,MS,1,Internode,2,True,0.000000,0.000000,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.586644,0.000005,-0.633576,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.217241,0.000000,0.000000,0.000000,0.000000,0.000000,0.036501,0.000000,0.000000,0.000000,14.985000,0.000000
0.000000,1,MS,1,Lamina,1,True,0.000000,0.000000,0.000000,380.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.598313,0.000005,-7.452586,0.000068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262069,0.000000,0.000000,0.000000,0.000000,0.000000,0.434386,0.000000,0.000000,0.000000,18.077143,0.000000
0.000000,1,MS,1,Sheath,1,True,0.000000,0.000000,0.000000,130.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.589802,0.000005,-1.273973,0.000012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121861,0.000000,0.000000,0.000000,0.000000,0.000000,0.073634,0.000000,0.000000,0.000000,8.405825,0.000000
0.000000,1,MS,2,Internode,1,True,0.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.577660,0.000005,-0.831830,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010728,0.000000,0.000000,0.000000,0.000000,0.000000,0.047462,0.000000,0.000000,0.000000,0.740000,0.000000
0.000000,1,MS,2,Lamina,1,True,0.000000,0.000000,0.000000,210.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.595627,0.000005,-7.290472,0.000066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.225287,0.000000,0.000000,0.000000,0.000000,0.000000,0.423834,0.000000,0.000000,0.000000,15.540000,0.000000
0.000000,1,MS,2,Sheath,1,True,0.000000,0.000000,0.000000,47.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.582734,0.000005,-1.048921,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065767,0.000000,0.000000,0.000000,0.000000,0.000000,0.060180,0.000000,0.000000,0.000000,4.536522,0.000000
0.000000,1,MS,3,Internode,1,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.573972,0.000005,-0.516574,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029353,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,1,MS,3,Lamina,1,True,0.000000,0.000000,0.000000,85.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.593251,0.000005,-4.869405,0.000044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.164138,0.000000,0.000000,0.000000,0.000000,0.000000,0.282423,0.000000,0.000000,0.000000,11.322000,0.000000
0.000000,1,MS,3,Sheath,1,True,0.000000,0.000000,0.000000,13.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.578701,0.000005,-0.833329,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029190,0.000000,0.000000,0.000000,0.000000,0.000000,0.047602,0.000000,0.000000,0.000000,2.013488,0.000000
