t,plant,axis,Total_transpiration
212.000000,1,MS,0.001436
213.000000,1,MS,0.001436
214.000000,1,MS,0.001689
215.000000,1,MS,0.001689
216.000000,1,MS,0.002414
217.000000,1,MS,0.002414
218.000000,1,MS,0.002023
219.000000,1,MS,0.002023
220.000000,1,MS,0.002589
221.000000,1,MS,0.002589
222.000000,1,MS,0.008559
223.000000,1,MS,0.008559
224.000000,1,MS,0.013236
225.000000,1,MS,0.013236
226.000000,1,MS,0.015413
227.000000,1,MS,0.015413
228.000000,1,MS,0.026680
229.000000,1,MS,0.026680
230.000000,1,MS,0.027354
231.000000,1,MS,0.027354
232.000000,1,MS,0.023056
233.000000,1,MS,0.023056
234.000000,1,MS,0.013289
235.000000,1,MS,0.013289
236.000000,1,MS,0.004584
237.000000,1,MS,0.004584
238.000000,1,MS,0.003499
239.000000,1,MS,0.003499
240.000000,1,MS,0.001329
241.000000,1,MS,0.001329
242.000000,1,MS,0.001498
243.000000,1,MS,0.001498
244.000000,1,MS,0.001652
245.000000,1,MS,0.001652
246.000000,1,MS,0.009305
247.000000,1,MS,0.009305
248.000000,1,MS,0.020195
249.000000,1,MS,0.020195
250.000000,1,MS,0.027104
251.000000,1,MS,0.027104
252.000000,1,MS,0.011636
253.000000,1,MS,0.011636
254.000000,1,MS,0.016284
255.000000,1,MS,0.016284
256.000000,1,MS,0.022125
257.000000,1,MS,0.022125
258.000000,1,MS,0.009830
259.000000,1,MS,0.009830
260.000000,1,MS,0.003865
261.000000,1,MS,0.003865
262.000000,1,MS,0.002230
263.000000,1,MS,0.002230
264.000000,1,MS,0.001748
265.000000,1,MS,0.001748
266.000000,1,MS,0.001864
267.000000,1,MS,0.001864
268.000000,1,MS,0.002539
269.000000,1,MS,0.002539
270.000000,1,MS,0.007392
271.000000,1,MS,0.007392
272.000000,1,MS,0.019009
273.000000,1,MS,0.019009
274.000000,1,MS,0.020529
275.000000,1,MS,0.020529
276.000000,1,MS,0.026237
277.000000,1,MS,0.026237
278.000000,1,MS,0.023988
279.000000,1,MS,0.023988
280.000000,1,MS,0.030257
281.000000,1,MS,0.030257
282.000000,1,MS,0.012783
283.000000,1,MS,0.012783
284.000000,1,MS,0.006188
285.000000,1,MS,0.006188
286.000000,1,MS,0.003001
287.000000,1,MS,0.003001
288.000000,1,MS,0.004111
289.000000,1,MS,0.004111
290.000000,1,MS,0.001775
291.000000,1,MS,0.001775
292.000000,1,MS,0.002391
293.000000,1,MS,0.002391
294.000000,1,MS,0.010757
295.000000,1,MS,0.010757
296.000000,1,MS,0.016876
297.000000,1,MS,0.016876
298.000000,1,MS,0.015905
299.000000,1,MS,0.015905
300.000000,1,MS,0.026630
301.000000,1,MS,0.026630
302.000000,1,MS,0.006408
303.000000,1,MS,0.006408
304.000000,1,MS,0.001836
305.000000,1,MS,0.001836
306.000000,1,MS,0.003446
307.000000,1,MS,0.003446
308.000000,1,MS,0.001160
309.000000,1,MS,0.001160
310.000000,1,MS,0.000549
311.000000,1,MS,0.000549
312.000000,1,MS,0.002406
313.000000,1,MS,0.002406
314.000000,1,MS,0.002972
315.000000,1,MS,0.002972
316.000000,1,MS,0.002909
317.000000,1,MS,0.002909
318.000000,1,MS,0.007081
319.000000,1,MS,0.007081
320.000000,1,MS,0.005431
321.000000,1,MS,0.005431
322.000000,1,MS,0.014202
