t,plant,axis,volume,Tsoil,nitrates,Conc_Nitrates_Soil
0.000000,1,MS,1.000000,15.000000,107142.857000,107142.857000
1.000000,1,MS,1.000000,15.000000,104614.966161,104614.966161
2.000000,1,MS,1.000000,15.000000,102171.616719,102171.616719
3.000000,1,MS,1.000000,15.000000,99802.054456,99802.054456
4.000000,1,MS,1.000000,15.000000,97497.532726,97497.532726
5.000000,1,MS,1.000000,15.000000,95255.080104,95255.080104
6.000000,1,MS,1.000000,15.000000,93069.014325,93069.014325
7.000000,1,MS,1.000000,15.000000,90938.071309,90938.071309
8.000000,1,MS,1.000000,15.000000,88857.737223,88857.737223
9.000000,1,MS,1.000000,15.000000,86827.155424,86827.155424
10.000000,1,MS,1.000000,15.000000,84842.148426,84842.148426
11.000000,1,MS,1.000000,15.000000,82902.160139,82902.160139
12.000000,1,MS,1.000000,15.000000,81003.316138,81003.316138
13.000000,1,MS,1.000000,15.000000,79144.869686,79144.869686
14.000000,1,MS,1.000000,15.000000,77322.738896,77322.738896
15.000000,1,MS,1.000000,15.000000,75536.899977,75536.899977
16.000000,1,MS,1.000000,15.000000,73784.078157,73784.078157
17.000000,1,MS,1.000000,15.000000,72064.352124,72064.352124
18.000000,1,MS,1.000000,15.000000,70374.775824,70374.775824
19.000000,1,MS,1.000000,15.000000,68716.146485,68716.146485
20.000000,1,MS,1.000000,15.000000,67086.364739,67086.364739
21.000000,1,MS,1.000000,15.000000,65486.762791,65486.762791
22.000000,1,MS,1.000000,15.000000,63915.832212,63915.832212
23.000000,1,MS,1.000000,15.000000,62374.193176,62374.193176
24.000000,1,MS,1.000000,15.000000,60859.726528,60859.726528
25.000000,1,MS,1.000000,15.000000,59373.493939,59373.493939
26.000000,1,MS,1.000000,15.000000,57913.857519,57913.857519
27.000000,1,MS,1.000000,15.000000,56481.541985,56481.541985
28.000000,1,MS,1.000000,15.000000,55074.688260,55074.688260
29.000000,1,MS,1.000000,15.000000,53694.346741,53694.346741
30.000000,1,MS,1.000000,15.000000,52339.050623,52339.050623
31.000000,1,MS,1.000000,15.000000,51008.824377,51008.824377
32.000000,1,MS,1.000000,15.000000,49701.313101,49701.313101
33.000000,1,MS,1.000000,15.000000,48416.961953,48416.961953
34.000000,1,MS,1.000000,15.000000,47153.857384,47153.857384
35.000000,1,MS,1.000000,15.000000,45912.466402,45912.466402
36.000000,1,MS,1.000000,15.000000,44691.008781,44691.008781
37.000000,1,MS,1.000000,15.000000,43489.962378,43489.962378
38.000000,1,MS,1.000000,15.000000,42307.713522,42307.713522
39.000000,1,MS,1.000000,15.000000,41144.839446,41144.839446
40.000000,1,MS,1.000000,15.000000,39999.966240,39999.966240
41.000000,1,MS,1.000000,15.000000,38873.914765,38873.914765
42.000000,1,MS,1.000000,15.000000,37765.646668,37765.646668
43.000000,1,MS,1.000000,15.000000,36676.280605,36676.280605
44.000000,1,MS,1.000000,15.000000,35605.151741,35605.151741
45.000000,1,MS,1.000000,15.000000,34553.447814,34553.447814
46.000000,1,MS,1.000000,15.000000,33520.636509,33520.636509
47.000000,1,MS,1.000000,15.000000,32507.699006,32507.699006
48.000000,1,MS,1.000000,15.000000,31513.978475,31513.978475
49.000000,1,MS,1.000000,15.000000,30540.215977,30540.215977
50.000000,1,MS,1.000000,15.000000,29585.612937,29585.612937
51.000000,1,MS,1.000000,15.000000,28650.890745,28650.890745
52.000000,1,MS,1.000000,15.000000,27735.314179,27735.314179
53.000000,1,MS,1.000000,15.000000,26839.547018,26839.547018
54.000000,1,MS,1.000000,15.000000,25962.882111,25962.882111
55.000000,1,MS,1.000000,15.000000,25105.749631,25105.749631
56.000000,1,MS,1.000000,15.000000,24267.305785,24267.305785
57.000000,1,MS,1.000000,15.000000,23447.941556,23447.941556
58.000000,1,MS,1.000000,15.000000,22646.846297,22646.846297
59.000000,1,MS,1.000000,15.000000,21864.266689,21864.266689
60.000000,1,MS,1.000000,15.000000,21099.326039,21099.326039
61.000000,1,MS,1.000000,15.000000,20352.360503,20352.360503
62.000000,1,MS,1.000000,15.000000,19622.651719,19622.651719
63.000000,1,MS,1.000000,15.000000,18910.570090,18910.570090
64.000000,1,MS,1.000000,15.000000,18215.524718,18215.524718
65.000000,1,MS,1.000000,15.000000,17537.898171,17537.898171
66.000000,1,MS,1.000000,15.000000,16877.188536,16877.188536
67.000000,1,MS,1.000000,15.000000,16233.883610,16233.883610
68.000000,1,MS,1.000000,15.000000,15607.636257,15607.636257
69.000000,1,MS,1.000000,15.000000,14998.819185,14998.819185
70.000000,1,MS,1.000000,15.000000,14407.032849,14407.032849
71.000000,1,MS,1.000000,15.000000,13832.515859,13832.515859
72.000000,1,MS,1.000000,15.000000,13274.797500,13274.797500
73.000000,1,MS,1.000000,15.000000,12734.023169,12734.023169
74.000000,1,MS,1.000000,15.000000,12209.689103,12209.689103
75.000000,1,MS,1.000000,15.000000,11701.904496,11701.904496
76.000000,1,MS,1.000000,15.000000,11210.181113,11210.181113
77.000000,1,MS,1.000000,15.000000,10734.604768,10734.604768
78.000000,1,MS,1.000000,15.000000,10274.710823,10274.710823
79.000000,1,MS,1.000000,15.000000,9830.476978,9830.476978
80.000000,1,MS,1.000000,15.000000,9401.386944,9401.386944
