t,PAR
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.12916666666666668
6,0.4525
7,1.1636111111111112
8,2.1008333333333336
9,1.0988888888888888
10,1.81
11,0.6141666666666666
12,1.0019444444444445
13,1.2605555555555557
14,1.4544444444444444
15,0.42027777777777775
16,0.2586111111111111
17,0.29083333333333333
18,0.42027777777777775
19,0.12916666666666668
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.06472222222222222
30,0.22611111111111112
31,0.5494444444444444
32,0.42027777777777775
33,0.29083333333333333
34,0.5816666666666667
35,0.4847222222222222
36,0.6786111111111112
37,1.3575
38,1.1311111111111112
39,1.0666666666666667
40,0.8727777777777778
41,0.29083333333333333
42,0.1938888888888889
43,0.03222222222222222
44,0.03222222222222222
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.22611111111111112
54,1.1311111111111112
55,0.6141666666666666
56,0.29083333333333333
57,0.4847222222222222
58,1.2280555555555555
59,3.5875
60,5.074166666666667
61,4.7186111111111115
62,3.2319444444444443
63,3.135
64,2.5208333333333335
65,1.0988888888888888
66,1.2280555555555555
67,0.4847222222222222
68,0.09694444444444444
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.06472222222222222
78,0.7111111111111111
79,1.616111111111111
80,1.2927777777777778
81,1.81
82,2.973333333333333
83,1.9713888888888889
84,0.7433333333333333
85,2.8119444444444444
86,1.9069444444444446
87,2.6502777777777777
88,1.9391666666666667
89,2.036111111111111
90,0.42027777777777775
91,0.4847222222222222
92,0.06472222222222222
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.03222222222222222
101,0.06472222222222222
102,0.29083333333333333
103,1.0666666666666667
104,2.715
105,2.488611111111111
106,1.6805555555555556
107,2.973333333333333
108,1.7130555555555556
109,4.007777777777778
110,2.294722222222222
111,2.488611111111111
112,1.6805555555555556
113,2.294722222222222
114,1.6483333333333334
115,0.4525
116,0.03222222222222222
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.29083333333333333
126,0.9372222222222222
127,1.8744444444444444
128,2.7794444444444446
129,2.7794444444444446
130,1.0666666666666667
131,2.9411111111111112
132,2.5208333333333335
133,3.296666666666667
134,3.7491666666666665
135,3.135
136,2.23
137,1.0666666666666667
138,0.2586111111111111
139,0.03222222222222222
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.09694444444444444
150,0.4525
151,0.6463888888888889
152,0.6141666666666666
153,0.7433333333333333
154,0.9697222222222223
155,1.4866666666666666
156,1.4866666666666666
157,1.2280555555555555
158,0.1938888888888889
159,0.6786111111111112
160,1.583611111111111
161,0.9372222222222222
162,1.0666666666666667
163,0.22611111111111112
164,0.03222222222222222
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.09694444444444444
175,0.29083333333333333
176,0.7111111111111111
177,0.6786111111111112
178,1.1636111111111112
179,0.9372222222222222
180,1.1958333333333333
181,1.7130555555555556
182,1.81
183,1.1958333333333333
184,0.7433333333333333
185,0.5494444444444444
186,0.4525
187,0.1938888888888889
188,0.03222222222222222
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.12916666666666668
198,0.16166666666666665
199,0.42027777777777775
200,0.5172222222222222
201,0.5494444444444444
202,0.7433333333333333
203,1.616111111111111
204,1.9391666666666667
205,1.3575
206,1.551388888888889
207,0.6786111111111112
208,0.6463888888888889
209,0.35555555555555557
210,0.12916666666666668
211,0.12916666666666668
212,0.06472222222222222
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.29083333333333333
222,0.8727777777777778
223,1.6483333333333334
224,2.5533333333333332
225,2.9411111111111112
226,2.1977777777777776
227,2.715
228,4.3308333333333335
229,3.361388888888889
230,2.23
231,1.4544444444444444
232,1.0988888888888888
233,0.6786111111111112
234,0.3877777777777778
235,0.22611111111111112
236,0.03222222222222222
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.16166666666666665
246,0.9697222222222223
247,2.003888888888889
248,1.7775
249,2.4563888888888887
250,3.2319444444444443
251,3.102777777777778
252,2.6180555555555554
253,2.7794444444444446
254,3.2644444444444445
255,2.7472222222222222
256,3.813888888888889
257,1.325
258,0.6786111111111112
259,0.29083333333333333
260,0.03222222222222222
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.29083333333333333
270,1.0019444444444445
271,1.9713888888888889
272,2.9411111111111112
273,3.910833333333333
274,4.460277777777778
275,4.460277777777778
276,4.977222222222222
277,4.621666666666667
278,4.589444444444444
279,4.363333333333333
280,2.8441666666666667
281,2.4563888888888887
282,1.4866666666666666
283,0.5494444444444444
284,0.09694444444444444
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.1938888888888889
294,0.9697222222222223
295,1.0341666666666667
296,0.4525
297,0.5172222222222222
298,0.5494444444444444
299,2.1330555555555555
300,4.3308333333333335
301,1.6483333333333334
302,2.036111111111111
303,1.3575
304,0.5172222222222222
305,0.5172222222222222
306,0.3877777777777778
307,0.09694444444444444
308,0.03222222222222222
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.12916666666666668
318,0.4525
319,1.4219444444444445
320,1.9713888888888889
321,3.522777777777778
322,2.973333333333333
323,2.5208333333333335
324,2.3594444444444442
325,3.555277777777778
326,3.135
327,3.6197222222222223
328,2.488611111111111
329,2.5855555555555556
330,1.6483333333333334
331,0.4525
332,0.03222222222222222
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.1938888888888889
342,0.4847222222222222
343,0.8080555555555555
344,1.0988888888888888
345,2.068611111111111
346,3.4905555555555554
347,2.068611111111111
348,1.9069444444444446
349,3.102777777777778
350,2.23
351,2.6825
352,2.5533333333333332
353,1.6805555555555556
354,0.7433333333333333
355,0.35555555555555557
356,0.06472222222222222
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.06472222222222222
366,0.1938888888888889
367,0.5172222222222222
368,1.0019444444444445
369,1.325
370,1.9713888888888889
371,1.583611111111111
372,1.4544444444444444
373,1.0666666666666667
374,0.8080555555555555
375,2.036111111111111
376,1.7130555555555556
377,2.3594444444444442
378,1.4219444444444445
379,0.7111111111111111
380,0.12916666666666668
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
