t,An
0,0
1,0
2,0
3,0
4,0
5,0
6,0.0375
7,0.0675
8,0.0975
9,0.1275
10,0.1575
11,0.1875
12,0.1875
13,0.1875
14,0.1875
15,0.1575
16,0.1275
17,0.0975
18,0.0675
19,0.0375
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0.0375
31,0.0675
32,0.0975
33,0.1275
34,0.1575
35,0.1875
36,0.1875
37,0.1875
38,0.1875
39,0.1575
40,0.1275
41,0.0975
42,0.0675
43,0.0375
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0.0375
55,0.0675
56,0.0975
57,0.1275
58,0.1575
59,0.1875
60,0.1875
61,0.1875
62,0.1875
63,0.1575
64,0.1275
65,0.0975
66,0.0675
67,0.0375
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0.0375
79,0.0675
80,0.0975
81,0.1275
82,0.1575
83,0.1875
84,0.1875
85,0.1875
86,0.1875
87,0.1575
88,0.1275
89,0.0975
90,0.0675
91,0.0375
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0.0375
103,0.0675
104,0.0975
105,0.1275
106,0.1575
107,0.1875
108,0.1875
109,0.1875
110,0.1875
111,0.1575
112,0.1275
113,0.0975
114,0.0675
115,0.0375
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0.0375
127,0.0675
128,0.0975
129,0.1275
130,0.1575
131,0.1875
132,0.1875
133,0.1875
134,0.1875
135,0.1575
136,0.1275
137,0.0975
138,0.0675
139,0.0375
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0.0375
151,0.0675
152,0.0975
153,0.1275
154,0.1575
155,0.1875
156,0.1875
157,0.1875
158,0.1875
159,0.1575
160,0.1275
161,0.0975
162,0.0675
163,0.0375
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0.0375
175,0.0675
176,0.0975
177,0.1275
178,0.1575
179,0.1875
180,0.1875
181,0.1875
182,0.1875
183,0.1575
184,0.1275
185,0.0975
186,0.0675
187,0.0375
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0.0375
199,0.0675
200,0.0975
201,0.1275
202,0.1575
203,0.1875
204,0.1875
205,0.1875
206,0.1875
207,0.1575
208,0.1275
209,0.0975
210,0.0675
211,0.0375
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0.0375
223,0.0675
224,0.0975
225,0.1275
226,0.1575
227,0.1875
228,0.1875
229,0.1875
230,0.1875
231,0.1575
232,0.1275
233,0.0975
234,0.0675
235,0.0375
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0.0375
247,0.0675
248,0.0975
249,0.1275
250,0.1575
251,0.1875
252,0.1875
253,0.1875
254,0.1875
255,0.1575
256,0.1275
257,0.0975
258,0.0675
259,0.0375
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0.0375
271,0.0675
272,0.0975
273,0.1275
274,0.1575
275,0.1875
276,0.1875
277,0.1875
278,0.1875
279,0.1575
280,0.1275
281,0.0975
282,0.0675
283,0.0375
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0.0375
295,0.0675
296,0.0975
297,0.1275
298,0.1575
299,0.1875
300,0.1875
301,0.1875
302,0.1875
303,0.1575
304,0.1275
305,0.0975
306,0.0675
307,0.0375
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0.0375
319,0.0675
320,0.0975
321,0.1275
322,0.1575
323,0.1875
324,0.1875
325,0.1875
326,0.1875
327,0.1575
328,0.1275
329,0.0975
330,0.0675
331,0.0375
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0.0375
343,0.0675
344,0.0975
345,0.1275
346,0.1575
347,0.1875
348,0.1875
349,0.1875
350,0.1875
351,0.1575
352,0.1275
353,0.0975
354,0.0675
355,0.0375
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0.0375
367,0.0675
368,0.0975
369,0.1275
370,0.1575
