t,plant,axis,metamer,organ,element,Nstruct,green_area,mstruct
11,1,MS,4,blade,LeafElement1,8.18E-06,9.20E-06,0.000253978
12,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
12,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
12,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
12,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
12,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
12,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
12,1,MS,4,blade,LeafElement1,9.51E-06,1.07E-05,0.000295282
13,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
13,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
13,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
13,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
13,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
13,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
13,1,MS,4,blade,LeafElement1,1.08E-05,1.21E-05,0.000335051
14,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
14,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
14,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
14,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
14,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
14,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
14,1,MS,4,blade,LeafElement1,1.22E-05,1.38E-05,0.000379573
15,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
15,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
15,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
15,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
15,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
15,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
15,1,MS,4,blade,LeafElement1,1.37E-05,1.54E-05,0.00042641
16,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
16,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
16,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
16,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
16,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
16,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
16,1,MS,4,blade,LeafElement1,1.53E-05,1.72E-05,0.000475612
17,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
17,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
17,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
17,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
17,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
17,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
17,1,MS,4,blade,LeafElement1,1.70E-05,1.91E-05,0.000527231
18,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
18,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
18,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
18,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
18,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
18,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
18,1,MS,4,blade,LeafElement1,1.87E-05,2.11E-05,0.000581318
19,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
19,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
19,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
19,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
19,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
19,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
19,1,MS,4,blade,LeafElement1,2.07E-05,2.32E-05,0.000641477
20,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
20,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
20,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
20,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
20,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
20,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
20,1,MS,4,blade,LeafElement1,2.25E-05,2.54E-05,0.000699717
21,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
21,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
21,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
21,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
21,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
21,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
21,1,MS,4,blade,LeafElement1,2.45E-05,2.75E-05,0.000760294
22,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
22,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
22,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
22,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
22,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
22,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
22,1,MS,4,blade,LeafElement1,2.65E-05,2.98E-05,0.00082325
23,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
23,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
23,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
23,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
23,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
23,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
23,1,MS,4,blade,LeafElement1,2.86E-05,3.22E-05,0.000888627
24,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
24,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
24,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
24,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
24,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
24,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
24,1,MS,4,blade,LeafElement1,3.08E-05,3.47E-05,0.000956464
25,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
25,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
25,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
25,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
25,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
25,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
25,1,MS,4,blade,LeafElement1,3.30E-05,3.71E-05,0.001023441
26,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
26,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
26,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
26,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
26,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
26,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
26,1,MS,4,blade,LeafElement1,3.53E-05,3.97E-05,0.001095682
27,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
27,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
27,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
27,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
27,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
27,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
27,1,MS,4,blade,LeafElement1,3.77E-05,4.24E-05,0.001170242
28,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
28,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
28,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
28,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
28,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
28,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
28,1,MS,4,blade,LeafElement1,4.02E-05,4.52E-05,0.001247152
29,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
29,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
29,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
29,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
29,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
29,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
29,1,MS,4,blade,LeafElement1,4.27E-05,4.81E-05,0.001326444
30,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
30,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
30,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
30,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
