t,plant,axis,phytomer,organ,element,Ag,An,Rd,Tr,Ts,gs
0,1,MS,1,Internode,enclosed,0,-0.462711,0.462711,0.000005,14.288647,0.05
0,1,MS,1,Internode,exposed,0,-0.465161,0.465161,0.000005,14.370849,0.05
0,1,MS,1,Lamina,exposed,0,-0.468065,0.468065,0.000005,14.467316,0.05
0,1,MS,1,Sheath,exposed,0,-0.472382,0.472382,0.000005,14.608839,0.05
0,1,MS,2,Internode,exposed,0,-0.467795,0.467795,0.000005,14.458397,0.05
0,1,MS,2,Lamina,exposed,0,-0.464923,0.464923,0.000005,14.36289,0.05
0,1,MS,2,Sheath,exposed,0,-0.470457,0.470457,0.000005,14.546,0.05
0,1,MS,3,Internode,exposed,0,-0.466204,0.466204,0.000005,14.405605,0.05
0,1,MS,3,Lamina,exposed,0,-0.462164,0.462164,0.000005,14.270216,0.05
0,1,MS,3,Sheath,exposed,0,-0.471795,0.471795,0.000005,14.589742,0.05
0,1,MS,4,Peduncle,enclosed,0,-0.468092,0.468092,0.000005,14.468201,0.05
0,1,MS,4,Peduncle,exposed,0,-0.46492,0.46492,0.000005,14.362802,0.05
0,1,MS,5,Chaff,exposed,0,-0.470683,0.470683,0.000005,14.553406,0.05
1,1,MS,1,Internode,enclosed,0,-0.462711,0.462711,0.000005,14.288647,0.05
1,1,MS,1,Internode,exposed,0,-0.465161,0.465161,0.000005,14.370849,0.05
1,1,MS,1,Lamina,exposed,0,-0.468065,0.468065,0.000005,14.467316,0.05
1,1,MS,1,Sheath,exposed,0,-0.472382,0.472382,0.000005,14.608839,0.05
1,1,MS,2,Internode,exposed,0,-0.467795,0.467795,0.000005,14.458397,0.05
1,1,MS,2,Lamina,exposed,0,-0.464923,0.464923,0.000005,14.36289,0.05
1,1,MS,2,Sheath,exposed,0,-0.470457,0.470457,0.000005,14.546,0.05
1,1,MS,3,Internode,exposed,0,-0.466204,0.466204,0.000005,14.405605,0.05
1,1,MS,3,Lamina,exposed,0,-0.462164,0.462164,0.000005,14.270216,0.05
1,1,MS,3,Sheath,exposed,0,-0.471795,0.471795,0.000005,14.589742,0.05
1,1,MS,4,Peduncle,enclosed,0,-0.468092,0.468092,0.000005,14.468201,0.05
1,1,MS,4,Peduncle,exposed,0,-0.46492,0.46492,0.000005,14.362802,0.05
1,1,MS,5,Chaff,exposed,0,-0.470683,0.470683,0.000005,14.553406,0.05
2,1,MS,1,Internode,enclosed,0,-0.462711,0.462711,0.000005,14.288647,0.05
2,1,MS,1,Internode,exposed,0,-0.465161,0.465161,0.000005,14.370849,0.05
2,1,MS,1,Lamina,exposed,0,-0.468065,0.468065,0.000005,14.467316,0.05
2,1,MS,1,Sheath,exposed,0,-0.472382,0.472382,0.000005,14.608839,0.05
2,1,MS,2,Internode,exposed,0,-0.467795,0.467795,0.000005,14.458397,0.05
2,1,MS,2,Lamina,exposed,0,-0.464923,0.464923,0.000005,14.36289,0.05
2,1,MS,2,Sheath,exposed,0,-0.470457,0.470457,0.000005,14.546,0.05
2,1,MS,3,Internode,exposed,0,-0.466204,0.466204,0.000005,14.405605,0.05
2,1,MS,3,Lamina,exposed,0,-0.462164,0.462164,0.000005,14.270216,0.05
2,1,MS,3,Sheath,exposed,0,-0.471795,0.471795,0.000005,14.589742,0.05
2,1,MS,4,Peduncle,enclosed,0,-0.468092,0.468092,0.000005,14.468201,0.05
2,1,MS,4,Peduncle,exposed,0,-0.46492,0.46492,0.000005,14.362802,0.05
2,1,MS,5,Chaff,exposed,0,-0.470683,0.470683,0.000005,14.553406,0.05
3,1,MS,1,Internode,enclosed,0,-0.156242,0.156242,0.000002,10.132857,0.05
3,1,MS,1,Internode,exposed,0,-0.915318,0.915318,0.000002,10.24063,0.05
3,1,MS,1,Lamina,exposed,0,-0.332706,0.332706,0.000002,10.33775,0.05
3,1,MS,1,Sheath,exposed,0,-0.818099,0.818099,0.000002,10.552217,0.05
3,1,MS,2,Internode,exposed,0,-0.377929,0.377929,0.000002,10.355318,0.05
3,1,MS,2,Lamina,exposed,0,-0.191704,0.191704,0.000002,10.194253,0.05
3,1,MS,2,Sheath,exposed,0,-0.345155,0.345155,0.000002,10.469996,0.05
3,1,MS,3,Internode,exposed,0,-0.449642,0.449642,0.000002,10.28617,0.05
3,1,MS,3,Lamina,exposed,0,-0.12423,0.12423,0.000001,10.066841,0.05
3,1,MS,3,Sheath,exposed,0,-0.147588,0.147588,0.000002,10.527234,0.05
3,1,MS,4,Peduncle,enclosed,0,-0.160418,0.160418,0.000002,10.368155,0.05
3,1,MS,4,Peduncle,exposed,0,-0.657659,0.657659,0.000002,10.230083,0.05
3,1,MS,5,Chaff,exposed,0,-1.238763,1.238763,0.000002,10.479688,0.05
4,1,MS,1,Internode,enclosed,0,-0.156242,0.156242,0.000002,10.132857,0.05
4,1,MS,1,Internode,exposed,0,-0.915318,0.915318,0.000002,10.24063,0.05
4,1,MS,1,Lamina,exposed,0,-0.332706,0.332706,0.000002,10.33775,0.05
4,1,MS,1,Sheath,exposed,0,-0.818099,0.818099,0.000002,10.552217,0.05
4,1,MS,2,Internode,exposed,0,-0.377929,0.377929,0.000002,10.355318,0.05
4,1,MS,2,Lamina,exposed,0,-0.191704,0.191704,0.000002,10.194253,0.05
4,1,MS,2,Sheath,exposed,0,-0.345155,0.345155,0.000002,10.469996,0.05
4,1,MS,3,Internode,exposed,0,-0.449642,0.449642,0.000002,10.28617,0.05
4,1,MS,3,Lamina,exposed,0,-0.12423,0.12423,0.000001,10.066841,0.05
4,1,MS,3,Sheath,exposed,0,-0.147588,0.147588,0.000002,10.527234,0.05
4,1,MS,4,Peduncle,enclosed,0,-0.160418,0.160418,0.000002,10.368155,0.05
4,1,MS,4,Peduncle,exposed,0,-0.657659,0.657659,0.000002,10.230083,0.05
4,1,MS,5,Chaff,exposed,0,-1.238763,1.238763,0.000002,10.479688,0.05
5,1,MS,1,Internode,enclosed,0,-0.172896,0.172896,0.000001,11.893701,0.05
5,1,MS,1,Internode,exposed,0,-1.025774,1.025774,0.000001,11.981506,0.05
5,1,MS,1,Lamina,exposed,0,-0.371896,0.371896,0.000001,12.064613,0.05
5,1,MS,1,Sheath,exposed,0,-0.910787,0.910787,0.000001,12.234443,0.05
5,1,MS,2,Internode,exposed,0,-0.410365,0.410365,0.000001,12.074766,0.05
5,1,MS,2,Lamina,exposed,0,-0.215193,0.215193,0.000001,11.948816,0.05
5,1,MS,2,Sheath,exposed,0,-0.38408,0.38408,0.000001,12.167834,0.05
5,1,MS,3,Internode,exposed,0,-0.486684,0.486684,0.000001,12.01856,0.05
5,1,MS,3,Lamina,exposed,0,-0.139976,0.139976,0.000001,11.845759,0.05
5,1,MS,3,Sheath,exposed,0,-0.164015,0.164015,0.000001,12.214214,0.05
5,1,MS,4,Peduncle,enclosed,0,-0.177074,0.177074,0.000001,12.085194,0.05
5,1,MS,4,Peduncle,exposed,0,-0.736149,0.736149,0.000001,11.97292,0.05
5,1,MS,5,Chaff,exposed,0,-1.375718,1.375718,0.000001,12.175691,0.05
6,1,MS,1,Internode,enclosed,0,-0.172896,0.172896,0.000001,11.893701,0.05
6,1,MS,1,Internode,exposed,0,-1.025774,1.025774,0.000001,11.981506,0.05
6,1,MS,1,Lamina,exposed,0,-0.371896,0.371896,0.000001,12.064613,0.05
6,1,MS,1,Sheath,exposed,0,-0.910787,0.910787,0.000001,12.234443,0.05
6,1,MS,2,Internode,exposed,0,-0.410365,0.410365,0.000001,12.074766,0.05
6,1,MS,2,Lamina,exposed,0,-0.215193,0.215193,0.000001,11.948816,0.05
6,1,MS,2,Sheath,exposed,0,-0.38408,0.38408,0.000001,12.167834,0.05
6,1,MS,3,Internode,exposed,0,-0.486684,0.486684,0.000001,12.01856,0.05
6,1,MS,3,Lamina,exposed,0,-0.139976,0.139976,0.000001,11.845759,0.05
6,1,MS,3,Sheath,exposed,0,-0.164015,0.164015,0.000001,12.214214,0.05
6,1,MS,4,Peduncle,enclosed,0,-0.177074,0.177074,0.000001,12.085194,0.05
6,1,MS,4,Peduncle,exposed,0,-0.736149,0.736149,0.000001,11.97292,0.05
6,1,MS,5,Chaff,exposed,0,-1.375718,1.375718,0.000001,12.175691,0.05
7,1,MS,1,Internode,enclosed,0,-0.220935,0.220935,0.000007,15.613175,0.05
7,1,MS,1,Internode,exposed,0.428351,-0.703737,1.132088,0.000008,15.768135,0.055303
7,1,MS,1,Lamina,exposed,3.632983,3.459129,0.173854,0.000016,16.067529,0.127298
7,1,MS,1,Sheath,exposed,1.330044,0.58012,0.749924,0.00001,16.200735,0.06773
7,1,MS,2,Internode,exposed,0.06036,-0.447123,0.507483,0.000008,15.915566,0.051224
7,1,MS,2,Lamina,exposed,0.820917,0.642839,0.178078,0.00001,15.645557,0.072821
7,1,MS,2,Sheath,exposed,0.177264,-0.277427,0.454691,0.000008,16.068059,0.053707
7,1,MS,3,Internode,exposed,0,-0.617149,0.617149,0.000008,15.822991,0.05
7,1,MS,3,Lamina,exposed,0.246246,0.091243,0.155003,0.000008,15.493566,0.058371
7,1,MS,3,Sheath,exposed,0.050279,-0.156348,0.206627,0.000008,16.147827,0.051606
7,1,MS,4,Peduncle,enclosed,0.152173,-0.055966,0.208138,0.000008,15.909341,0.054677
7,1,MS,4,Peduncle,exposed,2.400534,1.955718,0.444816,0.000012,15.858632,0.085571
7,1,MS,5,Chaff,exposed,6.988649,6.351629,0.637019,0.000016,16.405797,0.125094
8,1,MS,1,Internode,enclosed,0,-0.220935,0.220935,0.000007,15.613175,0.05
8,1,MS,1,Internode,exposed,0.428351,-0.703737,1.132088,0.000008,15.768135,0.055303
8,1,MS,1,Lamina,exposed,3.632983,3.459129,0.173854,0.000016,16.067529,0.127298
8,1,MS,1,Sheath,exposed,1.330044,0.58012,0.749924,0.00001,16.200735,0.06773
8,1,MS,2,Internode,exposed,0.06036,-0.447123,0.507483,0.000008,15.915566,0.051224
8,1,MS,2,Lamina,exposed,0.820917,0.642839,0.178078,0.00001,15.645557,0.072821
8,1,MS,2,Sheath,exposed,0.177264,-0.277427,0.454691,0.000008,16.068059,0.053707
8,1,MS,3,Internode,exposed,0,-0.617149,0.617149,0.000008,15.822991,0.05
8,1,MS,3,Lamina,exposed,0.246246,0.091243,0.155003,0.000008,15.493566,0.058371
8,1,MS,3,Sheath,exposed,0.050279,-0.156348,0.206627,0.000008,16.147827,0.051606
