t,plant,axis,metamer,organ,element,Ag,Tr,Ts,gs
0,1,MS,12,blade,LeafElement1,0.000000,0.185071,18.310830,0.050000
0,1,MS,12,internode,HiddenElement,0.000000,0.183350,18.207057,0.050000
0,1,MS,12,internode,StemElement,0.000000,0.184266,18.262386,0.050000
0,1,MS,12,sheath,StemElement,0.000000,0.184375,18.268945,0.050000
0,1,MS,13,peduncle,HiddenElement,0.000000,0.185537,18.338829,0.050000
0,1,MS,13,peduncle,StemElement,0.000000,0.186806,18.414809,0.050000
0,1,MS,14,ear,StemElement,0.000000,0.182070,18.129422,0.050000
1,1,MS,12,blade,LeafElement1,0.000000,0.185071,18.310830,0.050000
1,1,MS,12,internode,HiddenElement,0.000000,0.183350,18.207057,0.050000
1,1,MS,12,internode,StemElement,0.000000,0.184266,18.262386,0.050000
1,1,MS,12,sheath,StemElement,0.000000,0.184375,18.268945,0.050000
1,1,MS,13,peduncle,HiddenElement,0.000000,0.185537,18.338829,0.050000
1,1,MS,13,peduncle,StemElement,0.000000,0.186806,18.414809,0.050000
1,1,MS,14,ear,StemElement,0.000000,0.182070,18.129422,0.050000
2,1,MS,12,blade,LeafElement1,0.000000,0.185071,18.310830,0.050000
2,1,MS,12,internode,HiddenElement,0.000000,0.183350,18.207057,0.050000
2,1,MS,12,internode,StemElement,0.000000,0.184266,18.262386,0.050000
2,1,MS,12,sheath,StemElement,0.000000,0.184375,18.268945,0.050000
2,1,MS,13,peduncle,HiddenElement,0.000000,0.185537,18.338829,0.050000
2,1,MS,13,peduncle,StemElement,0.000000,0.186806,18.414809,0.050000
2,1,MS,14,ear,StemElement,0.000000,0.182070,18.129422,0.050000
3,1,MS,12,blade,LeafElement1,0.000000,0.060836,16.558432,0.050000
3,1,MS,12,internode,HiddenElement,0.000000,0.060274,16.485856,0.050000
3,1,MS,12,internode,StemElement,0.000000,0.060573,16.524591,0.050000
3,1,MS,12,sheath,StemElement,0.000000,0.060609,16.529177,0.050000
3,1,MS,13,peduncle,HiddenElement,0.000000,0.060988,16.577960,0.050000
3,1,MS,13,peduncle,StemElement,0.000000,0.061401,16.630834,0.050000
3,1,MS,14,ear,StemElement,0.000000,0.059855,16.431353,0.050000
4,1,MS,12,blade,LeafElement1,0.000000,0.060836,16.558432,0.050000
4,1,MS,12,internode,HiddenElement,0.000000,0.060274,16.485856,0.050000
4,1,MS,12,internode,StemElement,0.000000,0.060573,16.524591,0.050000
4,1,MS,12,sheath,StemElement,0.000000,0.060609,16.529177,0.050000
4,1,MS,13,peduncle,HiddenElement,0.000000,0.060988,16.577960,0.050000
4,1,MS,13,peduncle,StemElement,0.000000,0.061401,16.630834,0.050000
4,1,MS,14,ear,StemElement,0.000000,0.059855,16.431353,0.050000
5,1,MS,12,blade,LeafElement1,0.096257,0.061399,15.973983,0.052705
5,1,MS,12,internode,HiddenElement,0.000463,0.057917,15.881455,0.050011
5,1,MS,12,internode,StemElement,0.008583,0.058414,15.922278,0.050205
5,1,MS,12,sheath,StemElement,0.019015,0.058861,15.929874,0.050584
