plant,axis,metamer,organ,element,green_area,Ag,Tr,Ts,nitrates,starch,amino_acids,proteins,sucrose,triosesP,fructan,mstruct,Nstruct,cytokinins
1,MS,12,blade,LeafElement1,0.00346,0.00000,0.18507,18.31083,0.00000,0.00000,34,343,750,0.00000,0.00000,0.14000,0.00097,15.00000
1,MS,12,internode,HiddenElement,0.00040,0.00000,0.18335,18.20706,0.00000,0.00000,7,69,875,0.00000,0.00000,0.16000,0.00042,0.35000
1,MS,12,internode,StemElement,0.00008,0.00000,0.18427,18.26239,0.00000,0.00000,1,14,177,0.00000,0.00000,0.03200,0.00009,0.50000
1,MS,12,sheath,StemElement,0.00060,0.00000,0.18438,18.26895,0.00000,0.00000,5,53,672,0.00000,0.00000,0.12300,0.00060,0.50000
1,MS,13,peduncle,HiddenElement,0.00050,0.00000,0.00001,14.46820,0.00000,0.00000,5,46,582,0.00000,0.00000,0.10600,0.00051,0.70000
1,MS,13,peduncle,StemElement,0.00027,0.00000,0.00001,14.36280,0.00000,0.00000,2,25,315,0.00000,0.00000,0.05800,0.00028,0.85000
1,MS,14,ear,StemElement,0.00150,0.00000,0.00001,14.55341,0.00000,0.00000,24,243,726,0.00000,0.00000,0.21000,0.00101,15.00000
