plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins
1,MS,grains,NA,NA,NA,4000.000000,0.000000,170.000000,NA,NA,NA
1,MS,phloem,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,900.000000,60.000000,250.000000,NA,NA,NA,0.504000,0.010000,25.000000
