t,plant,axis,volume,Tsoil,nitrates,Conc_Nitrates_Soil
0.000000,1,MS,1.000000,15.000000,1178571.428000,1178571.428000
1.000000,1,MS,1.000000,15.000000,1174116.629627,1174116.629627
2.000000,1,MS,1.000000,15.000000,1169888.293422,1169888.293422
3.000000,1,MS,1.000000,15.000000,1165855.696873,1165855.696873
4.000000,1,MS,1.000000,15.000000,1161992.080090,1161992.080090
5.000000,1,MS,1.000000,15.000000,1158284.460317,1158284.460317
6.000000,1,MS,1.000000,15.000000,1154714.382520,1154714.382520
7.000000,1,MS,1.000000,15.000000,1151274.309429,1151274.309429
8.000000,1,MS,1.000000,15.000000,1147949.826744,1147949.826744
9.000000,1,MS,1.000000,15.000000,1144735.512874,1144735.512874
10.000000,1,MS,1.000000,15.000000,1141618.720710,1141618.720710
11.000000,1,MS,1.000000,15.000000,1138595.648770,1138595.648770
12.000000,1,MS,1.000000,15.000000,1135655.110749,1135655.110749
13.000000,1,MS,1.000000,15.000000,1132793.538556,1132793.538556
14.000000,1,MS,1.000000,15.000000,1129999.866810,1129999.866810
15.000000,1,MS,1.000000,15.000000,1127273.127516,1127273.127516
16.000000,1,MS,1.000000,15.000000,1124604.817293,1124604.817293
17.000000,1,MS,1.000000,15.000000,1121994.603937,1121994.603937
18.000000,1,MS,1.000000,15.000000,1119434.903017,1119434.903017
19.000000,1,MS,1.000000,15.000000,1116927.345342,1116927.345342
20.000000,1,MS,1.000000,15.000000,1114466.420664,1114466.420664
21.000000,1,MS,1.000000,15.000000,1112055.098907,1112055.098907
22.000000,1,MS,1.000000,15.000000,1109689.247661,1109689.247661
23.000000,1,MS,1.000000,15.000000,1107369.913963,1107369.913963
24.000000,1,MS,1.000000,15.000000,1105091.237810,1105091.237810
25.000000,1,MS,1.000000,15.000000,1102855.539051,1102855.539051
26.000000,1,MS,1.000000,15.000000,1100658.243310,1100658.243310
27.000000,1,MS,1.000000,15.000000,1098500.864303,1098500.864303
28.000000,1,MS,1.000000,15.000000,1096378.196586,1096378.196586
29.000000,1,MS,1.000000,15.000000,1094292.793964,1094292.793964
30.000000,1,MS,1.000000,15.000000,1092240.548830,1092240.548830
31.000000,1,MS,1.000000,15.000000,1090221.181916,1090221.181916
32.000000,1,MS,1.000000,15.000000,1088227.976157,1088227.976157
33.000000,1,MS,1.000000,15.000000,1086262.035472,1086262.035472
34.000000,1,MS,1.000000,15.000000,1084317.975154,1084317.975154
35.000000,1,MS,1.000000,15.000000,1082397.220140,1082397.220140
36.000000,1,MS,1.000000,15.000000,1080494.808778,1080494.808778
37.000000,1,MS,1.000000,15.000000,1078612.350122,1078612.350122
38.000000,1,MS,1.000000,15.000000,1076745.243616,1076745.243616
39.000000,1,MS,1.000000,15.000000,1074895.386161,1074895.386161
40.000000,1,MS,1.000000,15.000000,1073058.624828,1073058.624828
41.000000,1,MS,1.000000,15.000000,1071237.536046,1071237.536046
42.000000,1,MS,1.000000,15.000000,1069428.734156,1069428.734156
43.000000,1,MS,1.000000,15.000000,1067635.762284,1067635.762284
44.000000,1,MS,1.000000,15.000000,1065856.270529,1065856.270529
45.000000,1,MS,1.000000,15.000000,1064094.070272,1064094.070272
46.000000,1,MS,1.000000,15.000000,1062347.134414,1062347.134414
47.000000,1,MS,1.000000,15.000000,1060618.642834,1060618.642834
48.000000,1,MS,1.000000,15.000000,1058906.027968,1058906.027968
49.000000,1,MS,1.000000,15.000000,1057211.712684,1057211.712684
50.000000,1,MS,1.000000,15.000000,1055532.494081,1055532.494081
51.000000,1,MS,1.000000,15.000000,1053870.895667,1053870.895667
52.000000,1,MS,1.000000,15.000000,1052223.909469,1052223.909469
53.000000,1,MS,1.000000,15.000000,1050594.028698,1050594.028698
54.000000,1,MS,1.000000,15.000000,1048978.314499,1048978.314499
55.000000,1,MS,1.000000,15.000000,1047378.401363,1047378.401363
56.000000,1,MS,1.000000,15.000000,1045790.607972,1045790.607972
57.000000,1,MS,1.000000,15.000000,1044216.551585,1044216.551585
58.000000,1,MS,1.000000,15.000000,1042652.598030,1042652.598030
59.000000,1,MS,1.000000,15.000000,1041099.824129,1041099.824129
60.000000,1,MS,1.000000,15.000000,1039554.117984,1039554.117984
61.000000,1,MS,1.000000,15.000000,1038017.284658,1038017.284658
62.000000,1,MS,1.000000,15.000000,1036485.992203,1036485.992203
63.000000,1,MS,1.000000,15.000000,1034962.510694,1034962.510694
64.000000,1,MS,1.000000,15.000000,1033444.085370,1033444.085370
65.000000,1,MS,1.000000,15.000000,1031933.231242,1031933.231242
66.000000,1,MS,1.000000,15.000000,1030427.527084,1030427.527084
67.000000,1,MS,1.000000,15.000000,1028930.426181,1028930.426181
68.000000,1,MS,1.000000,15.000000,1027440.493075,1027440.493075
69.000000,1,MS,1.000000,15.000000,1025960.763775,1025960.763775
70.000000,1,MS,1.000000,15.000000,1024489.454139,1024489.454139
71.000000,1,MS,1.000000,15.000000,1023029.009079,1023029.009079
72.000000,1,MS,1.000000,15.000000,1021577.130664,1021577.130664
73.000000,1,MS,1.000000,15.000000,1020135.922546,1020135.922546
74.000000,1,MS,1.000000,15.000000,1018702.825621,1018702.825621
75.000000,1,MS,1.000000,15.000000,1017280.057896,1017280.057896
76.000000,1,MS,1.000000,15.000000,1015865.242414,1015865.242414
77.000000,1,MS,1.000000,15.000000,1014460.883899,1014460.883899
78.000000,1,MS,1.000000,15.000000,1013064.953481,1013064.953481
79.000000,1,MS,1.000000,15.000000,1011679.350696,1011679.350696
80.000000,1,MS,1.000000,15.000000,1010301.528654,1010301.528654
81.000000,1,MS,1.000000,15.000000,1008933.111697,1008933.111697
82.000000,1,MS,1.000000,15.000000,1007571.337621,1007571.337621
83.000000,1,MS,1.000000,15.000000,1006218.055692,1006218.055692
84.000000,1,MS,1.000000,15.000000,1004870.779955,1004870.779955
85.000000,1,MS,1.000000,15.000000,1003530.881214,1003530.881214
86.000000,1,MS,1.000000,15.000000,1002195.466359,1002195.466359
87.000000,1,MS,1.000000,15.000000,1000866.512579,1000866.512579
88.000000,1,MS,1.000000,15.000000,999541.780165,999541.780165
