t,plant,axis,organ,mstruct,Nstruct,age_from_flowering,amino_acids,cytokinins,nitrates,proteins,starch,structure,sucrose,C_exudation,HATS_LATS,N_exudation,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_residual,regul_transpiration,sum_respi,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,S_Amino_Acids,S_cytokinins,S_grain_starch,S_grain_structure,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,Total_Organic_Nitrogen
24,1,MS,grains,NA,NA,345599.99999999977,NA,NA,NA,141.98662417219086,0.0,2605.525850528667,NA,NA,NA,NA,1.2900792594818167e-06,NA,NA,0.0,4.9425825262569392,NA,NA,NA,NA,NA,NA,NA,NA,0,12.100805495318712,0.76252726574346341,NA,NA,NA,NA
24,1,MS,phloem,NA,NA,NA,38.160735404444978,NA,NA,NA,NA,NA,605.58573762904098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,MS,roots,0.15109033599999999,0.0045218070000000001,NA,19.834618876142351,0.0078734238031126971,53.38020709719784,NA,NA,NA,117.29112056506946,14.004171818799524,26.670598167357078,2.3681878846728646,NA,0.73605004064394164,1.0325510901890234,NA,NA,1.1303368216968568,0.13870163395378929,2.8989379525298218,0.29711815707293449,0.026654119002622802,0.00078628085733772001,2.4603985576527378,0.0082018614094634592,NA,NA,NA,4.4123355466385892,70.020859093997615,2.6008843581587491,342.82083316185663
28,1,MS,grains,NA,NA,403199.99999999988,NA,NA,NA,145.02224620755692,0.0,2634.0831694677204,NA,NA,NA,NA,1.2688427497024237e-06,NA,NA,0.0,4.9145010905447313,NA,NA,NA,NA,NA,NA,NA,NA,0,12.03205439409227,0.75602871075509148,NA,NA,NA,NA
28,1,MS,phloem,NA,NA,NA,34.139298520928428,NA,NA,NA,NA,NA,543.32049952138448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,MS,roots,0.15141278699999999,0.0045282559999999996,NA,21.702698513956751,0.014293389569475427,62.116798310984514,NA,NA,NA,133.88596832879895,13.438976164739225,23.511175064483055,2.1784362594541546,NA,0.76760388489752029,1.0138907966426216,NA,NA,1.2403142191600554,0.099525154894868822,3.0218089007001971,0.23327615857372402,0.022255862304506616,0.0010242373038298158,2.5604094437956708,0.03071213557124582,NA,NA,NA,4.2221600280850113,67.194880823696124,2.5538810998554697,345.14955565681385
32,1,MS,grains,NA,NA,460800.00000000012,NA,NA,NA,148.01179883942712,0.0,2662.4324747263877,NA,NA,NA,NA,1.2463050761989149e-06,NA,NA,0.0,4.8791606268352448,NA,NA,NA,NA,NA,NA,NA,NA,0,11.945531189838011,0.73475992174481053,NA,NA,NA,NA
32,1,MS,phloem,NA,NA,NA,30.046693411943089,NA,NA,NA,NA,NA,488.49114204751663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,MS,roots,0.15174368400000002,0.0045348740000000004,NA,23.421175620619636,0.032765292868719424,70.47900552295134,NA,NA,NA,148.53450945282631,12.868437386976366,20.835550339704323,2.0291172274618243,NA,0.79163051169919041,0.97574046554942861,NA,NA,1.3330063986962086,0.10989026678449193,3.1003773759448277,0.2779659976344836,0.027881844190642088,0.0025924224777232239,2.6347942741858423,0.083156098948559284,NA,NA,NA,3.9576356618934776,64.342186934881823,2.4577845479834473,347.34074704919107
36,1,MS,grains,NA,NA,518400.00000000035,NA,NA,NA,150.68410649018944,0.0,2691.2002040907387,NA,NA,NA,NA,1.2909646771155129e-06,NA,NA,0.0,5.108607262307606,NA,NA,NA,NA,NA,NA,NA,NA,0,12.50727984909793,0.58386875619659417,NA,NA,NA,NA
