t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,15,1,700000,NA,NA
4,1,MS,15,1,697563.32444274251,697563.32444274251,0.007379999999999999
8,1,MS,15,1,694101.65572195628,694101.65572195628,0.007379999999999999
12,1,MS,15,1,690235.62071681919,690235.62071681919,0.007379999999999999
16,1,MS,15,1,686266.9422703255,686266.9422703255,0.007379999999999999
20,1,MS,15,1,682151.15035914932,682151.15035914932,0.007379999999999999
24,1,MS,15,1,677901.07716472831,677901.07716472831,0.007379999999999999
28,1,MS,15,1,673661.24478531012,673661.24478531012,0.007379999999999999
32,1,MS,15,1,669543.00079312385,669543.00079312385,0.007379999999999999
36,1,MS,15,1,665574.61438805354,665574.61438805354,0.007379999999999999
40,1,MS,15,1,661701.99369889626,661701.99369889626,0.007379999999999999
44,1,MS,15,1,657887.2534116623,657887.2534116623,0.007379999999999999
48,1,MS,15,1,654151.54436799744,654151.54436799744,0.007379999999999999
