t,plant,axis,organ,C_exudation,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Dry_Mass,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,Nstruct_N_growth,Proteins_N_Mass,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_growth,R_maintenance,R_residual,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,amino_acids,cytokinins,mstruct,mstruct_C_growth,mstruct_death,nitrates,proteins,regul_transpiration,starch,structure,sucrose,total_organic_nitrogen
4,1,MS,roots,13.6758242095,109.985898551,531.564173091,118.690080859,6.68475358428,NA,0.00657586510551,0.000905450002457,0.00227732057791,35.1708631159,1.2356079869,0.00997907959393,NA,NA,NA,2.86153474661,2.1997750803,NA,NA,NA,5.38819428727,3.73519200763,2.87363517791,NA,0.847129722784,NA,NA,2.68778518284,68.3791210476,5.54099516448,64.7179975114,3.36192178054,0.502923815837,NA,1.76150716225e-07,267.336282293,NA,0.000940814645186,NA,NA,716.304820414,777.509397078
5,1,MS,grains,NA,NA,NA,NA,NA,0.0857598095598,NA,NA,NA,NA,NA,NA,NA,0.00153721345059,1.28533261941e-06,NA,NA,0.0,4.69073192447,NA,NA,NA,NA,0.436105444116,NA,0.0,11.4842057461,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.800960756,NA,0.0,2481.89231607,NA,NA
5,1,MS,phloem,NA,58.30092012,NA,149.688860024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.530191351,NA,NA,NA,NA,NA,NA,NA,NA,NA,4490.66580071,NA
5,1,MS,roots,13.875413882,111.870872594,539.458600292,118.382094971,7.2502604195,NA,0.00668856441696,0.00091889712604,0.00246997395497,34.3372930381,1.27844357924,0.00997907959393,NA,NA,NA,2.86030185431,2.14352675736,NA,NA,NA,5.38819428727,3.73527571283,2.87239707214,NA,0.845310180768,NA,NA,2.63455029763,69.3770694098,5.39931173137,65.8271555675,3.64632863599,0.502923815837,NA,1.76150716225e-07,271.306577745,NA,0.000940814645186,NA,NA,714.446099153,778.618555134
6,1,MS,grains,NA,NA,NA,NA,NA,0.0860088189567,NA,NA,NA,NA,NA,NA,NA,0.00154327149659,1.28975475143e-06,NA,NA,0.0,4.71979567353,NA,NA,NA,NA,0.429986293779,NA,0.0,11.5553618214,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.233678328,NA,0.0,2488.7078141,NA,NA
6,1,MS,phloem,NA,58.5311966635,NA,153.363127138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.203750241,NA,NA,NA,NA,NA,NA,NA,NA,NA,4600.89381414,NA
6,1,MS,roots,13.9953235447,113.758699474,547.476818337,118.221472074,7.77805823233,NA,0.00740793385867,0.00101571319867,0.00288606791811,33.4923657655,1.31303352326,0.00997197257599,NA,NA,NA,2.85768798199,2.08868754505,NA,NA,NA,5.38427997055,3.73519392687,2.87185844179,NA,0.845695970426,NA,NA,2.60389825703,69.9766177235,5.26117769533,66.8893644052,3.90892897444,0.502558460953,NA,1.76023335543e-07,275.139107231,NA,0.0010254542076,NA,NA,712.958412688,779.173119833
7,1,MS,grains,NA,NA,NA,NA,NA,0.0862584849414,NA,NA,NA,NA,NA,NA,NA,0.0015492673602,1.29241382803e-06,NA,NA,0.0,4.74254912726,NA,NA,NA,NA,0.426955064989,NA,0.0,11.6110685529,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.6619543,NA,0.0,2495.56043917,NA,NA
7,1,MS,phloem,NA,58.7014122242,NA,155.647870923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.701630756,NA,NA,NA,NA,NA,NA,NA,NA,NA,4669.43612769,NA
7,1,MS,roots,14.0680269078,115.448360678,554.826855847,118.019920464,8.27256480169,NA,0.00751796411133,0.00102934944747,0.00306955581477,32.7287118636,1.34174584438,0.00997197257599,NA,NA,NA,2.85692880584,2.03849387007,NA,NA,NA,5.38427997055,3.73650641255,2.87109550111,NA,0.845103192674,NA,NA,2.58650412548,70.340134539,5.13474526466,67.8828740404,4.15744743487,0.502558460953,NA,1.76023335543e-07,278.83293077,NA,0.0010254542076,NA,NA,711.742915084,780.166629468
8,1,MS,grains,NA,NA,NA,NA,NA,0.0865088407042,NA,NA,NA,NA,NA,NA,NA,0.00155523501777,1.29397478801e-06,NA,NA,0.0,4.76137243473,NA,NA,NA,NA,0.425820635814,NA,0.0,11.6571532023,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.088215555,NA,0.0,2502.4429701,NA,NA
