t,plant,axis,metamer,organ,element,Ag,Nstruct,Tr,Ts,green_area,is_growing,mstruct,amino_acids,cytokinins,fructan,nitrates,proteins,starch,sucrose,triosesP,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Transpiration,sum_respi,Amino_Acids_import,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,Nitrates_import,Regul_S_Fructan,S_Fructan,S_Starch,S_Sucrose,S_Amino_Acids,S_Proteins,cytokinins_import,k_proteins,Total_Organic_Nitrogen
4,1,MS,2,sheath,StemElement,0.0,0.00036000000000000002,0.0,0.0,1.26e-06,False,0.012,2.0643316136036329,1.7806645991045651,0.16363014594614084,0.0,0.53181674354722042,0.0,20.730362413623347,0.0,NA,0.0,0,0.049653385526973702,0.0,0.049653385526973702,0.0,0.16363014594614084,0.036863965076936261,0,1.6025981391941084,-1.1076460843978311,-0.58395068597177069,0.0,0.015,13.866400903791236,0.0,0.0,0,3.4149075623948466,0.0,2.310568162449683e-07,28.310434071436568
4,1,MS,3,blade,LeafElement1,0.0,0.00066,0.18921264500000001,18.843290840000002,0.00022900700000000001,False,0.022000000000000002,3.460595564983628,3.3202898819976818,0.22506124533767846,0.0010579291183719091,1.2566761881993092,0.0,27.780503940785927,0.0,NA,0.0,0,0.28707649129685348,4.3331020193515008e-05,0.28707649129685348,0.079669162307415289,0.22506124533767846,0.046002992051252106,0,1.6299604875261346,-1.8020187742752691,-3.3591654867989069,0.0011269127230710586,0.015,10.887949817973954,0.0,0.0,0,3.3012809052302678,0.052943644727446774,2.2370869959077774e-07,51.860128896040081
4,1,MS,3,sheath,StemElement,0.0,0.00042000000000000002,0.0,0.0,4.0600000000000001e-06,False,0.013999999999999999,2.3337535294618803,2.0774420322886593,0.12533327462574562,0.0,0.63661199535760238,0.0,15.746964395657965,0.0,NA,0.0,0,0.045888676903250054,0.0,0.045888676903250054,0.0,0.12533327462574562,0.037824053356461627,0,1.6025981391941089,-1.2657799703585586,-3.0308640784594933,0.0,0.015,9.916806773961893,0.0,0.0,0,3.3752278932322644,0.0,2.3105681624496822e-07,32.970365524819485
4,1,MS,4,blade,LeafElement1,0.0,5.2600000000000001e-08,0.0,18.0,5.9200000000000001e-08,True,1.6300000000000001e-06,0.00055930408768044271,0.0,7.2720303450643094e-08,0.0,6.895740275837378e-06,0.0,0.0030826674493453312,0.0,NA,0.0,1.6283253801457005e-12,2.5637750556690318e-05,0.0,2.5637752185015698e-05,0.0,7.2720303450643094e-08,0.038074639559838287,0,0.0,6.0835674040332117e-05,0.00016649543764270965,0.0,6.5665242146164946e-07,0.00064875665513001069,0.0,0.0,0,4.1813996694569271,0.0,2.5e-06,0.0043233426850991371
8,1,MS,1,blade,LeafElement1,0.22835203199999998,0.00054000000000000001,0.065656899000000005,16.443020449999999,0.00029428400000000002,False,0.018000000000000002,3.9640136413398026,2.7349538213989226,0.34654823496342746,4.6592901604368723e-05,0.90997950459669696,0.012335723410075685,22.90725790074282,4.1398767514522443e-05,NA,0.00062875406743922622,0,0.21124161876130559,1.9321774865316002e-05,0.21187037282874482,0.040523195219691784,0.34654823496342746,0.040192932387406941,0.24671446820151371,1.6409722928393535,-0.70875848053689139,-2.2730791032497302,0.00064169144049791311,0.015,10.955822943885115,0.82788014690786071,12.501516471238132,0.035283617701415609,3.7136750526945912,0.022154774032876565,2.2084526181290454e-07,43.445421717365072
8,1,MS,1,sheath,StemElement,0.075132541999999997,0.00029999999999999997,0.059634000999999999,16.37150248,0.000174251,False,0.01,2.4127390001459341,1.5200597058526168,0.19022806640998285,7.9592135494329399e-05,0.46372712095291851,0.002298473775411728,12.823021756989421,7.9120916806987771e-06,NA,0.00037160583551149664,0,0.11806751790020628,1.0391284308251e-05,0.11843912373571777,0.021793445247230314,0.19022806640998285,0.03683854110284672,0.082745055914822216,1.6416644823208262,-0.36920521978883419,-1.507251477931896,0.00034510277874909349,0.015,11.022124621065215,0.2848240327358566,4.3105189135878641,0.037535942980959261,3.8176932370834429,0.011914876214292948,2.2066701777321801e-07,24.305037549670281
8,1,MS,2,blade,LeafElement1,0.24207144999999999,0.00059999999999999995,0.065969374999999997,16.448801629999998,0.00028853,False,0.02,4.3368029450244441,3.0272036069881221,0.29220276166618891,4.8987530633270848e-05,1.1217079879333007,0.012833858598420156,20.655492485846775,4.3037743237602609e-05,NA,0.00061899799798822584,0,0.20773844538731026,1.9034143768749999e-05,0.20835744338529849,0.039919951927673045,0.29220276166618891,0.044918839911562043,0.23100945477156284,1.6346899477735861,-0.7883343900854769,-3.575415064243249,0.00063213898406086239,0.015,9.2444742568728486,0.77459603611355909,11.699421134285108,0.031262525150920498,3.6956705307555779,0.021824969861486118,2.2247243783970262e-07,48.315653790100598
8,1,MS,2,sheath,StemElement,0.0,0.00036000000000000002,0.0,0.0,1.26e-06,False,0.012,2.7655449928138598,1.7615368969467495,0.32766884139555097,0.0,0.57487745975794091,0.0,20.860827642851291,0.0,NA,0.0,0,0.053280995805494752,0.0,0.053280995805494752,0.0,0.32766884139555097,0.040676665757470067,0,1.5853832072520746,-0.48058948142012442,-0.16405914886863404,0.0,0.015,13.931154621486977,0.0,0.0,0,3.7659244790457063,0.0,2.3585702232146112e-07,29.054708166857516
8,1,MS,3,blade,LeafElement1,0.27355807199999999,0.00066,0.065969879999999995,16.453926129999999,0.00022900700000000001,False,0.022000000000000002,4.6869378511834867,3.302233296335702,0.46579736578978631,4.7486195097981511e-05,1.3331435513494683,0.011533153318338124,30.156417945401735,3.861594548052625e-05,NA,0.00049044528031442548,0,0.26986675026747087,1.5107564309159999e-05,0.27035719554778531,0.031684810637820575,0.46579736578978631,0.04931347150222648,0.18872432702735115,1.62109634547389,-0.87354817962075471,-2.1028303909359933,0.00050173417150004614,0.015,11.618779881247098,0.63184183702240493,9.5488063048362832,0.022518148774767006,3.674995323508186,0.017322667083623362,2.2605225320234048e-07,53.162938545390098
8,1,MS,3,sheath,StemElement,0.0,0.00042000000000000002,0.0,0.0,4.0600000000000001e-06,False,0.013999999999999999,3.1475566895722125,2.0551263797712056,0.2699015323909898,0.0,0.6863633993217978,0.0,17.955777335089522,0.0,NA,0.0,0,0.052847960311611708,0.0,0.052847960311611708,0.0,0.2699015323909898,0.041627218524293692,0,1.585383207252073,-0.56938972277366984,-1.8853256260261049,0.0,0.015,11.023857732515456,0.0,0.0,0,3.7375688273803211,0.0,2.3585702232146152e-07,33.833920088894011
8,1,MS,4,blade,LeafElement1,0.059989445000000002,1.3799999999999999e-06,0.063276225000000005,16.449080169999998,1.55e-06,True,4.2700000000000008e-05,0.013326387207517134,0.00011432134453396899,2.7511057291525321e-06,4.1053927715070208e-07,0.00018243991801584591,1.6994522037803106e-05,0.07630915628862045,5.5949567262873643e-08,NA,3.1643492503088101e-06,8.9927817236044925e-10,0.00059138243311292161,9.807814875000001e-08,0.00059454768164140278,0.00020569745772768683,2.7511057291525321e-06,0.038371279457976415,0.14327934270747347,0.028915000491027285,0.0010063468964215116,0.0035100631239674048,3.2572529693289542e-06,1.2597986241266584e-06,0.0011941755629616795,0.47167505184736608,7.1328989970240517,0.074855090727149937,4.0896173783815302,0.00011245857268628144,2.4946624295622821e-06,0.11208025569696153
12,1,MS,1,blade,LeafElement1,3.4118892889999999,0.00054000000000000001,0.35118719399999998,16.746177209999999,0.00029428400000000002,False,0.018000000000000002,4.5486860263510049,2.7699714132158189,0.55135104776461108,1.7149182623328259e-05,0.97768631149223906,0.20531653140105641,27.351382225523199,0.00065183009620386817,NA,0.0031223420121547205,0,0.24381578795655459,0.00010334877219909599,0.24693812996870931,0.17549607555761126,0.55135104776461108,0.042143161626625493,4.1063306280211282,1.6619828479294914,-0.29719871528727659,-0.79775725760833816,0.0031562929547380276,0.015,12.585916008554857,13.013040004305386,187.25025222331666,0.17521560113101686,3.8689745311618911,0.059176426457331975,2.155249650693306e-07,44.097800909271811
12,1,MS,1,sheath,StemElement,1.160077781,0.00029999999999999997,0.228567047,16.455131770000001,0.000174251,False,0.01,2.6732335122305302,1.5285480661728663,0.30359523582582737,1.6984453635627497e-05,0.50218056098990593,0.039896082237985006,14.371200133848697,0.0001267456470705533,NA,0.0012018208003840398,0,0.12977961939424376,3.9828036506797001e-05,0.13098144019462779,0.067631805926469307,0.30359523582582737,0.039469986274563322,1.4362589605674605,1.6508319114666958,-0.129119185242554,-0.77435150778150919,0.0012163565018970968,0.015,12.055776583537041,4.5599535232403454,67.831363543930081,0.12139604044283231,3.9299056044163909,0.022805117304577151,2.1832555713935667e-07,24.603985501791861
12,1,MS,2,blade,LeafElement1,3.6261299839999999,0.00059999999999999995,0.35404676299999999,16.735022430000001,0.00028853,False,0.02,4.9765407188347348,3.058336873678023,0.49092017933726478,1.7947892593231054e-05,1.1964889378288921,0.21332925726787022,26.371501987378881,0.00067715667919819231,NA,0.0030860805598331019,0,0.25091654344047098,0.00010215311252839,0.2540026240003041,0.17346573136051549,0.49092017933726478,0.046983785238290846,3.8399266308216644,1.6515019117861323,-0.34902753494981614,-1.766390395468751,0.003119777260215372,0.015,11.268846891292666,12.168220745687711,175.66740085652356,0.15586265453702536,3.8519548533784116,0.058491804230420316,2.1815582313302092e-07,49.030172513806484
12,1,MS,2,sheath,StemElement,0.0,0.00036000000000000002,0.0,0.0,1.26e-06,False,0.012,3.0497384090310846,1.7426146624497671,0.47644640388260945,0.0,0.62032392568742911,0.0,20.694342208210841,0.0,NA,0.0,3.783642351831747e-06,0.054467043560269636,0.0,0.054470827202621468,0.0,0.47644640388260945,0.0448022202681604,0,1.5683531962047905,-0.21882587506647458,0.052550588219885376,0.0,0.0053570714943153462,4.9458220208821295,0.0,0.0,0,3.8752002649788038,0.0,2.4074637144086498e-07,29.384348049004231
12,1,MS,3,blade,LeafElement1,4.0975752860000005,0.00066,0.347523631,16.72337048,0.00022900700000000001,False,0.022000000000000002,5.3562891081128825,3.316350347787512,0.72216136333046488,1.6811993773984296e-05,1.4147987735495502,0.18985944341256611,34.165134635039017,0.00060222044457663515,NA,0.0024039073032287857,0,0.30127591160999467,7.9585344164417009e-05,0.30367981891322343,0.13514350751889431,0.72216136333046488,0.051909055194984878,3.1067908922056273,1.6280265343684148,-0.41640569546457729,-0.75047884028318124,0.0024305529300593649,0.015,12.797250007518141,9.8410470936271572,143.36476633320115,0.11037223614457232,3.8277997003522639,0.04556973600958051,2.2421704761128847e-07,53.913945024519577
12,1,MS,3,sheath,StemElement,0.0,0.00042000000000000002,0.0,0.0,4.0600000000000001e-06,False,0.013999999999999999,3.4929313839828615,2.0330504395247226,0.42413416235921392,0.0,0.73903385918853237,0.0,19.245645172751715,0.0,NA,0.0,0,0.056368982361204266,0.0,0.056368982361204266,0.0,0.42413416235921392,0.045750785135548949,0,1.5683531962047863,-0.27106184974350844,-1.1921087407065802,0.0,0.015,11.644992170955796,0.0,0.0,0,3.8549139551092302,0.0,2.4074637144086625e-07,34.231965243171395
12,1,MS,4,blade,LeafElement1,0.97470886400000001,4.8400000000000002e-06,0.24765079700000001,16.412072569999999,5.4399999999999996e-06,True,0.00015023600000000002,0.04411876981742463,0.00095254035488499572,1.6718206147459818e-05,3.4034503522646049e-07,0.00078733369611551655,0.0010281918767067395,0.25667740258173,3.3645691218520961e-06,NA,4.068534627701579e-05,2.2863172962634872e-08,0.0020909018143234069,1.3472203356799999e-06,0.0021316100237733855,0.0022877086664152531,1.6718206147459818e-05,0.046556871474314809,2.4637841503662652,0.068475171282235639,0.0038182607237059424,0.025363620085104843,4.1144388689929483e-05,1.4543966599943092e-07,0.00013334413398131449,8.0532635039602791,118.14680017532045,0.27354501830934674,4.0282686972056698,0.00077140427912008582,2.4677232994388211e-06,0.39062038922782588
16,1,MS,1,blade,LeafElement1,27.499209159999999,0.00054000000000000001,2.7666914349999998,26.679168390000001,0.00029428400000000002,False,0.018000000000000002,4.887478520695975,2.7766635159025541,0.57772497693588587,1.1458697076185516e-05,1.0159148424718436,1.5873202642212625,40.9898151380171,0.0080917886806419655,NA,0.0094193971348956913,0.00035994413137073711,0.5965945757343003,0.00081419302225753994,0.60637391700056675,0.48182505147203125,0.57772497693588587,0.04358865219467109,31.746405284425247,1.6659981095415322,-0.10417519537906542,3.3328160312105286,0.0095161087077665161,1.1025011718430619e-07,0.00012419954103488347,158.27812597897841,1458.5793849574577,0.52858569780559428,3.9465373877584544,0.036345528692911765,2.1452906470297569e-07,44.474821934596392
16,1,MS,1,sheath,StemElement,13.13302554,0.00029999999999999997,1.828340321,22.334726379999999,0.000174251,False,0.01,2.798769504732463,1.5285373144483347,0.34668521037366679,6.6185189159073471e-06,0.52368369576944707,0.34650720132077129,18.485342057017114,0.0017652508063501072,NA,0.0036854791713486702,3.025233228517628e-05,0.2243054371526598,0.00031859012927457097,0.22802116865629365,0.18853601202645248,0.34668521037366679,0.041160627368617982,12.474259247547767,1.6508202996042016,-0.030461138518346129,0.50420553808627133,0.0037236112574288638,5.45780328412504e-06,0.0053033494059310394,62.993036486344053,759.67870539354828,0.37227062336855254,3.9784870618570718,0.014221844658802166,2.1832850048147214e-07,24.751024629073338
16,1,MS,2,blade,LeafElement1,30.220154709999999,0.00059999999999999995,2.9465084889999997,25.885194240000001,0.00028853,False,0.02,5.3479348210093853,3.0643429177329389,0.55366201273556315,1.2146629094841121e-05,1.2387282030196429,1.678922749248579,41.669690749974343,0.0085677355492168612,NA,0.0098354292570110094,0.00026406549787653363,0.60404240639147988,0.00085015609433116996,0.61414190114636746,0.50310736239742271,0.55366201273556315,0.048459830982639049,30.220609486474427,1.6547451755757869,-0.14311213885530502,2.2005458156377804,0.0099364371728385917,5.2539059144869045e-07,0.00055632441963964136,150.98523595221673,1416.9525308428495,0.49673885136419238,3.9301992650886901,0.037950918118030079,2.1733684805157733e-07,49.443805881171883
16,1,MS,2,sheath,StemElement,0.0,0.00036000000000000002,0.0,0.0,1.26e-06,False,0.012,3.1202693656346487,1.7323105614088732,0.48156223662380165,0.0,0.64564670048808426,0.0,20.6066639767308,0.0,NA,0.0,7.4473979267687598e-06,0.05496993301032272,0.0,0.054977380408249489,0.0,0.48156223662380165,0.047158602255188246,0,1.5590795052679858,-0.14163741885529726,0.10343608231623277,0.0,0.0010185607377865113,0.93740264366058046,0.0,0.0,0,3.9000935239027426,0.0,2.4346959526284857e-07,29.48020178040845
16,1,MS,3,blade,LeafElement1,37.032234610000003,0.00066,3.1485165149999998,24.863300859999999,0.00022900700000000001,False,0.022000000000000002,5.7182641050602703,3.3171719034547853,0.75145182940355604,1.0971275370016808e-05,1.4608677229695151,1.5343222213377172,48.578809285296479,0.0078253915507485068,NA,0.0083415098796516922,0.00043073244604240155,0.63473068264652721,0.00072103232155060497,0.64350292497222128,0.42669419406326919,0.75145182940355604,0.053573953199003911,25.10709089461719,1.6284298435141673,-0.21298430332763077,3.2631245912303144,0.0084272669577343303,2.1446657977130213e-07,0.00023651780490374332,125.8142575843745,1260.7257079704632,0.3829894343274422,3.8996711599442704,0.032186840485037831,2.2411090033194713e-07,54.321988970886935
16,1,MS,3,sheath,StemElement,0.0,0.00042000000000000002,0.0,0.0,4.0600000000000001e-06,False,0.013999999999999999,3.5841534528959094,2.0210289883103458,0.51093993770100743,0.0,0.76842725816628243,0.0,19.709542352961996,0.0,NA,0.0,0,0.057778046942914975,0.0,0.057778046942914975,0.0,0.51093993770100743,0.04810851605177649,0,1.5590795052679811,-0.18097949375083366,-0.977889859530512,0.0,0.015,11.8640142301964,0.0,0.0,0,3.8831927685518068,0.0,2.4346959526285e-07,34.352580711062188
16,1,MS,4,blade,LeafElement1,9.3132151920000013,9.5100000000000004e-06,2.1167535759999998,18.453217479999999,1.0699999999999999e-05,True,0.00029528200000000001,0.084540503551735244,0.0015886975749955276,4.4548461337450671e-05,3.7103286041366162e-07,0.0014324234163683133,0.016156398937269559,0.49795594083015066,8.6650547872814043e-05,NA,0.00026202214807516562,5.8267875267821711e-07,0.0048245937552767156,2.2649263263199997e-05,0.0050871985821045592,0.013403434000620809,4.4548461337450671e-05,0.043258521819352462,19.697454018250493,0.058106941195032874,0.015485441944698726,0.32888264589907107,0.00026471960023167319,5.0650856630997715e-10,4.598885141068219e-07,104.11443498942683,1107.9976711348031,0.89632566983277417,4.0021382286712734,0.0010110617817915407,2.4770497896353631e-06,0.76525864125381793
20,1,MS,1,blade,LeafElement1,21.255757070000001,0.00054000000000000001,3.0276401599999998,22.148582080000001,0.00029428400000000002,False,0.018000000000000002,5.2992512934289957,2.7514433433226788,0.56741945180831443,1.5616207056979216e-05,1.0869781125057663,2.7483502545452647,55.033589613981775,0.0055092362697857595,NA,0.011216977677959193,0.001090129127216544,0.49273151141877425,0.00089098605684544,0.50503861822395002,0.48761256026043459,0.56741945180831443,0.047461141700248434,54.967005090905296,1.6508660059936071,0.12298788253621017,10.093788214967999,0.011332328239728571,3.9687486692635136e-09,5.4214485765387319e-06,108.52393648728277,1140.5475354710954,0.62946002682150348,4.0308415355015335,0.0035048041043556793,2.1831691528193795e-07,44.957657977363333
20,1,MS,1,sheath,StemElement,9.2098840539999998,0.00029999999999999997,1.884668131,19.573040880000001,0.000174251,False,0.01,2.9178973613281816,1.5138158065561893,0.34324316734459925,9.5214241126824437e-06,0.56328566193018414,0.588269402477131,22.522071309756573,0.0011524886011840322,NA,0.0041339350586535994,0.00011967322199469855,0.20365946279658934,0.000328405306494881,0.20791307107723764,0.17972733812473152,0.34324316734459925,0.045101391961516399,21.177698489176716,1.6349210710806845,0.06963668705220763,1.9945536999116424,0.0041769416033793716,8.8198054911124017e-08,9.8605159041596904e-05,41.251878046495058,535.17769295769722,0.41756919784379792,4.0217096820092859,0.0012918229833703311,2.224122728568111e-07,24.909754451829791
20,1,MS,2,blade,LeafElement1,23.11968761,0.00059999999999999995,3.1431614649999999,21.891148950000002,0.00028853,False,0.02,5.7940924791014741,3.0361147819450873,0.54270046724063559,1.6265314470073396e-05,1.317256670486197,2.8944412323829916,58.222886715688013,0.0057803455209842793,NA,0.011417231049920564,0.0011016821951925818,0.52870968942300078,0.00090689637749645003,0.5412286026681139,0.49631984824502001,0.54270046724063559,0.052453714804395465,52.099942182893848,1.6395019822503472,0.093728544546178599,9.1806849599381817,0.01153468940422865,7.2354123203637092e-09,9.5849580437532097e-06,102.56407982908226,1096.3574847748232,0.57662783080406887,4.0143351481961052,0.003567389322935534,2.2122455951088651e-07,49.968492006730528
20,1,MS,2,sheath,StemElement,0.0,0.00036000000000000002,0.0,0.0,1.26e-06,False,0.012,3.1715228505971158,1.7137022729754288,0.5475180769097775,0.0,0.69198382752197307,0.0,20.431641496774077,0.0,NA,0.0,0,0.054917310259020892,0.0,0.054917310259020892,0.0,0.5475180769097775,0.051587276799719098,0,1.542332045677886,-0.069192701933458028,-0.063628167783529643,0.0,0.015,13.717345814334168,0.0,0.0,0,3.9176790282327172,0.0,2.4849943379195044e-07,29.577792392404803
20,1,MS,3,blade,LeafElement1,27.29145827,0.00066,3.2124103470000001,21.52057379,0.00022900700000000001,False,0.022000000000000002,6.1355586285082344,3.2853426295920314,0.73510164092051811,1.4497806769337837e-05,1.5463505977915328,2.6010597532154835,63.092317034565845,0.005120474438720146,NA,0.0092613643612483899,0.0012257948943165842,0.56304250115079757,0.0007356644563354291,0.57352966040636255,0.40260925105424683,0.73510164092051811,0.057762839863407273,42.562795961707913,1.612804563617906,0.010891063925898363,9.2863249569438189,0.0093568143176237569,9.3053969440537985e-09,1.2210574282359001e-05,82.825702424210974,938.55716352001423,0.42522334073684065,3.9747805840667345,0.0028938273345396142,2.2827626089629394e-07,54.824766369156912
20,1,MS,3,sheath,StemElement,0.0,0.00042000000000000002,0.0,0.0,4.0600000000000001e-06,False,0.013999999999999999,3.6588189549910592,1.9993193184713243,0.67106649027263543,0.0,0.82227277796044029,0.0,20.413085024873762,0.0,NA,0.0,0,0.059086578058451134,0.0,0.059086578058451134,0.0,0.67106649027263543,0.05254311079175282,0,1.5423320456778788,-0.093797180018598408,-0.95127925756701659,0.0,0.015,12.191892258072215,0.0,0.0,0,3.9055800440256401,0.0,2.4849943379195261e-07,34.481091732951498
20,1,MS,4,blade,LeafElement1,10.429975539999999,1.5299999999999999e-05,2.7302212180000001,19.689801939999999,1.7199999999999998e-05,True,0.00047561199999999999,0.13202707751929438,0.0018144163590654379,0.00010016766215284584,7.8780071927089751e-07,0.0033052029510798912,0.059839427111868598,0.81987226586447115,0.00016338727914930561,NA,0.00059120013457934122,1.5931934047112907e-06,0.0086497490556820388,4.6959804949599992e-05,0.0092425423836660914,0.025699830592048473,0.00010016766215284584,0.062264082883935007,45.293629597808085,0.041201014015430082,0.027211637866040566,0.55829590951983643,0.00059727525439246269,4.3267701208654181e-10,3.9934040813321777e-07,121.58265050267936,1232.3592096101106,1.2555861776205095,3.9698928485329064,0.00018472221407124764,2.4887986731242279e-06,1.228189423327517
24,1,MS,1,blade,LeafElement1,0.0,0.00054000000000000001,0.16219914099999999,11.33106151,0.00029428400000000002,False,0.018000000000000002,5.1875276883514916,2.7221243405239064,0.55729750761555941,0.0021647199528518103,1.158442265116822,1.9177450458990333,47.898158102941217,-1.8875849697120337e-17,NA,0.0,0.00063769430157828639,0.22355594756504107,4.7732612010043999e-05,0.22419364186661936,0.090005224641747192,0.55729750761555941,0.051629774616848076,38.354900917980665,1.6332746043143438,0.12481188846210532,5.9045768664656135,0.002293535188325244,1.9826650938455735e-08,2.4792036875032134e-05,0.0,0.0,0,4.008950055939863,0.00022631637525245723,2.2284138006498551e-07,44.917398524896882
24,1,MS,1,sheath,StemElement,0.0,0.00029999999999999997,0.15640557399999999,11.166488409999999,0.000174251,False,0.01,2.8553406885363253,1.497689711332076,0.33983012689049219,0.0012375192112777881,0.60291758795260775,0.41047518727846005,21.03293405622561,-2.9837980080791233e-18,NA,0.0,7.1632627112233881e-05,0.11110149221328153,2.7253827675073997e-05,0.11117312484039377,0.051390166574717067,0.33983012689049219,0.049272974172841703,14.777106742024563,1.6175048882386422,0.070868316885704649,1.1938771185372314,0.001309536816803187,4.1125194793452468e-07,0.00043837984139013728,0.0,0.0,0,3.9993455737759711,0.00012921956774290856,2.2701174329168293e-07,24.886829705060361
