t,plant,axis,metamer,organ,element,Ag,An,Rd,Tr,Ts,gs
0,1,MS,10,blade,LeafElement1,0.000000,-0.468065,0.468065,0.000005,14.467316,0.050000
0,1,MS,10,internode,HiddenElement,0.000000,-0.462711,0.462711,0.000005,14.288647,0.050000
0,1,MS,10,internode,StemElement,0.000000,-0.465161,0.465161,0.000005,14.370849,0.050000
0,1,MS,10,sheath,StemElement,0.000000,-0.472382,0.472382,0.000005,14.608839,0.050000
0,1,MS,11,blade,LeafElement1,0.000000,-0.464923,0.464923,0.000005,14.362890,0.050000
0,1,MS,11,internode,HiddenElement,0.000000,-0.467795,0.467795,0.000005,14.458397,0.050000
0,1,MS,11,sheath,StemElement,0.000000,-0.470457,0.470457,0.000005,14.546000,0.050000
0,1,MS,12,blade,LeafElement1,0.000000,-0.462164,0.462164,0.000005,14.270216,0.050000
0,1,MS,12,internode,HiddenElement,0.000000,-0.466204,0.466204,0.000005,14.405605,0.050000
0,1,MS,12,sheath,StemElement,0.000000,-0.471795,0.471795,0.000005,14.589742,0.050000
0,1,MS,13,peduncle,HiddenElement,0.000000,-0.468092,0.468092,0.000005,14.468201,0.050000
0,1,MS,13,peduncle,StemElement,0.000000,-0.464920,0.464920,0.000005,14.362802,0.050000
0,1,MS,14,ear,StemElement,0.000000,-0.470683,0.470683,0.000005,14.553406,0.050000
1,1,MS,10,blade,LeafElement1,0.000000,-0.468065,0.468065,0.000005,14.467316,0.050000
1,1,MS,10,internode,HiddenElement,0.000000,-0.462711,0.462711,0.000005,14.288647,0.050000
1,1,MS,10,internode,StemElement,0.000000,-0.465161,0.465161,0.000005,14.370849,0.050000
1,1,MS,10,sheath,StemElement,0.000000,-0.472382,0.472382,0.000005,14.608839,0.050000
1,1,MS,11,blade,LeafElement1,0.000000,-0.464923,0.464923,0.000005,14.362890,0.050000
1,1,MS,11,internode,HiddenElement,0.000000,-0.467795,0.467795,0.000005,14.458397,0.050000
1,1,MS,11,sheath,StemElement,0.000000,-0.470457,0.470457,0.000005,14.546000,0.050000
1,1,MS,12,blade,LeafElement1,0.000000,-0.462164,0.462164,0.000005,14.270216,0.050000
1,1,MS,12,internode,HiddenElement,0.000000,-0.466204,0.466204,0.000005,14.405605,0.050000
1,1,MS,12,sheath,StemElement,0.000000,-0.471795,0.471795,0.000005,14.589742,0.050000
1,1,MS,13,peduncle,HiddenElement,0.000000,-0.468092,0.468092,0.000005,14.468201,0.050000
1,1,MS,13,peduncle,StemElement,0.000000,-0.464920,0.464920,0.000005,14.362802,0.050000
1,1,MS,14,ear,StemElement,0.000000,-0.470683,0.470683,0.000005,14.553406,0.050000
2,1,MS,10,blade,LeafElement1,0.000000,-0.468065,0.468065,0.000005,14.467316,0.050000
2,1,MS,10,internode,HiddenElement,0.000000,-0.462711,0.462711,0.000005,14.288647,0.050000
2,1,MS,10,internode,StemElement,0.000000,-0.465161,0.465161,0.000005,14.370849,0.050000
2,1,MS,10,sheath,StemElement,0.000000,-0.472382,0.472382,0.000005,14.608839,0.050000
2,1,MS,11,blade,LeafElement1,0.000000,-0.464923,0.464923,0.000005,14.362890,0.050000
2,1,MS,11,internode,HiddenElement,0.000000,-0.467795,0.467795,0.000005,14.458397,0.050000
2,1,MS,11,sheath,StemElement,0.000000,-0.470457,0.470457,0.000005,14.546000,0.050000
2,1,MS,12,blade,LeafElement1,0.000000,-0.462164,0.462164,0.000005,14.270216,0.050000
2,1,MS,12,internode,HiddenElement,0.000000,-0.466204,0.466204,0.000005,14.405605,0.050000
2,1,MS,12,sheath,StemElement,0.000000,-0.471795,0.471795,0.000005,14.589742,0.050000
2,1,MS,13,peduncle,HiddenElement,0.000000,-0.468092,0.468092,0.000005,14.468201,0.050000
2,1,MS,13,peduncle,StemElement,0.000000,-0.464920,0.464920,0.000005,14.362802,0.050000
2,1,MS,14,ear,StemElement,0.000000,-0.470683,0.470683,0.000005,14.553406,0.050000
3,1,MS,10,blade,LeafElement1,0.000000,-0.332706,0.332706,0.000002,10.337750,0.050000
3,1,MS,10,internode,HiddenElement,0.000000,-0.156242,0.156242,0.000002,10.132857,0.050000
3,1,MS,10,internode,StemElement,0.000000,-0.915318,0.915318,0.000002,10.240630,0.050000
3,1,MS,10,sheath,StemElement,0.000000,-0.818099,0.818099,0.000002,10.552217,0.050000
3,1,MS,11,blade,LeafElement1,0.000000,-0.191704,0.191704,0.000002,10.194253,0.050000
