t,plant,axis,metamer,organ,element,Ag,Nstruct,Tr,Ts,green_area,is_growing,mstruct,amino_acids,cytokinins,fructan,nitrates,proteins,starch,sucrose,triosesP,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,R_maintenance,Transpiration,sum_respi,Amino_Acids_import,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,Nitrates_import,Regul_S_Fructan,S_Fructan,S_Starch,S_Sucrose,S_Amino_Acids,S_Proteins,cytokinins_import,k_proteins,Total_Organic_Nitrogen
0,1,MS,1,blade,LeafElement1,0.0,0.00054000000000000001,0.18726384300000001,18.789502330000001,0.00029428400000000002,False,0.018000000000000002,0.40000000000000002,2.7000000000000002,0,0,0.80000000000000004,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.771428571428572
0,1,MS,1,sheath,StemElement,0.0,0.00029999999999999997,0.1803941,18.599999069999999,0.000174251,False,0.01,0.20000000000000001,1.5,0,0,0.40000000000000002,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.028571428571428
0,1,MS,2,blade,LeafElement1,0.0,0.00059999999999999995,0.188262663,18.817068819999999,0.00028853,False,0.02,0.5,3.0,0,0,1.0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.357142857142854
0,1,MS,2,sheath,StemElement,0.0,0.00036000000000000002,0.0,0.0,1.26e-06,False,0.012,0.25,1.8,0,0,0.5,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.464285714285715
0,1,MS,3,blade,LeafElement1,0.0,0.00066,0.18921264500000001,18.843290840000002,0.00022900700000000001,False,0.022000000000000002,0.59999999999999998,3.2999999999999998,0,0,1.2,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.942857142857143
0,1,MS,3,sheath,StemElement,0.0,0.00042000000000000002,0.0,0.0,4.0600000000000001e-06,False,0.013999999999999999,0.29999999999999999,2.1000000000000001,0,0,0.59999999999999998,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.899999999999999
0,1,MS,4,blade,LeafElement1,0.0,5.2600000000000001e-08,0.0,18.0,5.9200000000000001e-08,True,1.6300000000000001e-06,0.0,0.0,0,0,0.0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0037571428571428569
4,1,MS,1,blade,LeafElement1,0.0,0.00054000000000000001,0.18726384300000001,18.789502330000001,0.00029428400000000002,False,0.018000000000000002,2.8457667883543221,2.6718671476954818,0.16257156315934068,1.5697793794138211e-05,0.84623116019118449,0.0,20.20009544275997,0.0,0.0,0.0,0,0.2169442031344806,0.25077771284316158,5.5108752773412007e-05,0.2169442031344806,0.0011924639361722,0.16257156315934068,0.039081222783156795,0.0,1.6031202886172891,-1.5665095603151284,-3.5957088020423074,1.6789345828926932e-05,0.015,9.8984048019779003,0.0,0.0,0,3.3077727223920483,0.00087438356923576427,2.3091339944470602e-07,42.263426519974075
4,1,MS,1,sheath,StemElement,0.0,0.00029999999999999997,0.1803941,18.599999069999999,0.000174251,False,0.01,1.7826230562958671,1.4843835531072509,0.086983609819689958,8.9539702320879429e-06,0.42711264687968942,0.0,11.051857095621392,0.0,0.0,0.0,0,0.1175091470727728,0.13750288663683205,3.1433852319099998e-05,0.1175091470727728,0.00068017752859713028,0.086983609819689958,0.035504783137701099,0.0,1.6031342373558308,-0.94312023621619656,-2.4838348421344505,9.5765879422226558e-06,0.015,9.7753010564253149,0.0,0.0,0,3.4593850152351227,0.00049874552774972628,2.309095699348517e-07,23.638307131746984
4,1,MS,2,blade,LeafElement1,0.0,0.00059999999999999995,0.188262663,18.817068819999999,0.00028853,False,0.02,3.1227285134510767,2.968632116394339,0.12650073683530189,1.5472953167879071e-05,1.0513833544296878,0.0,16.386735603298892,0.0,0.0,0.0,0,0.19852670755608015,0.27917483091952727,5.4319426155390002e-05,0.19852670755608015,0.0011753841896984943,0.12650073683530189,0.043703193626728983,0.0,1.603061342852943,-1.6983396249354012,-5.3767644317698897,1.6548870824594365e-05,0.015,7.6029602341820368,0.0,0.0,0,3.2917485141674501,0.00086185971066838512,2.3092958351066564e-07,47.031254725023615
4,1,MS,2,sheath,StemElement,0.0,0.00036000000000000002,0.0,0.0,1.26e-06,False,0.012,2.0618719643648049,1.7806645999238648,0.16362831131436653,0.0,0.53200735209181405,0.0,20.730758995766219,0.0,0.0,0.0,0,0.049653852427159403,0.045454543200000003,0.0,0.049653852427159403,0.0,0.16362831131436653,0.036877177465636513,0.0,1.6025981399314784,-1.1066754591074879,-0.58387791626533048,0.0,0.015,13.866598056263586,0.0,0.0,0,3.4134106823344088,0.0,2.310568160423482e-07,28.308165030742334
4,1,MS,3,blade,LeafElement1,0.0,0.00066,0.18921264500000001,18.843290840000002,0.00022900700000000001,False,0.022000000000000002,3.3948117722603079,3.2652360267129374,0.22505157014809613,1.234289265598495e-05,1.2564954928197662,0.0,27.78147994378967,0.0,0.0,0.0,0,0.28708223435873498,0.30765098393683016,4.3331020193515008e-05,0.28708223435873498,0.00093761292531456531,0.22505157014809613,0.04748823844937735,0.0,1.6029340494772599,-1.8274587433007079,-3.3590112997989636,1.3201160369939135e-05,0.015,10.888255210908422,0.0,0.0,0,3.2766041676500453,0.00068751205913177916,2.3096453850687343e-07,51.794164407937217
4,1,MS,3,sheath,StemElement,0.0,0.00042000000000000002,0.0,0.0,4.0600000000000001e-06,False,0.013999999999999999,2.331130943999542,2.0774420332445094,0.12532409912945289,0.0,0.63681772612778587,0.0,15.747851388062566,0.0,0.0,0.0,0,0.04589022140035251,0.053030300399999994,0.0,0.04589022140035251,0.0,0.12532409912945289,0.037836276736735099,0.0,1.6025981399314788,-1.2645513868179696,-3.0306782534846795,0.0,0.015,9.9172627790620655,0.0,0.0,0,3.3738046952873364,0.0,2.3105681604234812e-07,32.967948670127328
4,1,MS,4,blade,LeafElement1,0.0,5.2600000000000001e-08,0.0,18.0,5.9200000000000001e-08,True,1.6300000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NA,0.0,0.0,0.0,0,0.0,0.0,0.0,-169.56066918163421,-935.23440298433309,0.0,0.015,0.0,0.0,0.0,0,0.0,0.0,2.5000000000000002e-06,0.0037571428571428569
8,1,MS,1,blade,LeafElement1,0.22835203199999998,0.00054000000000000001,0.065656899000000005,16.443020449999999,0.00029428400000000002,False,0.018000000000000002,3.8757504683297412,2.6434084434888274,0.34660112546515104,2.880104663313885e-07,0.9091235134768082,0.0079406820785171157,22.922031168124459,1.040955214099437e-05,0.24192125778631676,3.9460079997940713e-06,0,0.21091127799774523,0.21313402871501522,1.9321774865316002e-05,0.21091522400574503,0.00043298775050887691,0.34660112546515104,0.042850602261254242,0.63525456628136923,1.5860450660932963,-0.74062189459449124,-2.2725367830661822,6.8618635767032156e-06,0.015,10.961454290844555,0.83274009224785472,12.606592747962015,0.00022143703702548099,3.6874511389750366,0.00024344315922253311,2.3566986017872569e-07,43.356302553235118
8,1,MS,1,sheath,StemElement,0.075132541999999997,0.00029999999999999997,0.059634000999999999,16.37150248,0.000174251,False,0.01,2.3675952744359261,1.4685687233742903,0.1902509347081896,8.4281327386922487e-07,0.46338289671800115,0.001545589649594903,12.829965271811853,2.0264232193665292e-06,0.047130914073751196,4.0537405200908073e-06,0,0.11787904641154225,0.11782226943423585,1.0391284308251e-05,0.11788310015206234,0.00023286156933773002,0.1902509347081896,0.039313506061799015,0.22256490954166608,1.5860542212442335,-0.38892130958886845,-1.5072537299759792,3.6903222300737152e-06,0.015,11.026874226025829,0.29180198701717042,4.4199299560889429,0.00040946873940311183,3.7964818928828969,0.00013092415670990616,2.3566727274238433e-07,24.259549599725354
