t,An,Tr
0,-0.6031062551,4.81024005027435E-006
4,-0.5145899662,3.36927535008571E-007
8,4.2282907778,1.77386386333713E-005
12,1.9484657016,5.22059743531543E-006
16,0.2075125354,0.000001306
20,-0.5100332663,0
24,-0.5081210832,1.60661705557933E-007
28,-0.4495963691,0
32,0.6462735343,0
36,1.2198602646,1.45164173876145E-006
40,1.6265702112,5.39843496548236E-007
44,-0.4576680741,2.01267316570534E-007
