t,An,Tr
0,-0.6031230388,4.81183114594474E-006
4,-0.5160297235,3.8080271053328E-007
8,0.5430766484,9.70865572651798E-006
12,-0.0257553768,3.11542118890568E-006
16,-0.3677741938,1.03260749105455E-006
20,-0.5107819745,2.06198434475727E-008
24,-0.5084704135,1.7285648457948E-007
28,-0.4516458906,0
32,-0.2546724745,0
36,-0.1826991487,8.03398166499959E-007
40,-0.123034955,9.62799729268256E-009
44,-0.5338504541,1.87511126222674E-007
