t,An
0,0
1,0
2,0
3,0
4,0
5,0
6,2.8125
7,5.0625
8,7.3125
9,9.5625
10,11.8125
11,14.0625
12,14.0625
13,14.0625
14,14.0625
15,11.8125
16,9.5625
17,7.3125
18,5.0625
19,2.8125
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,2.8125
31,5.0625
32,7.3125
33,9.5625
34,11.8125
35,14.0625
36,14.0625
37,14.0625
38,14.0625
39,11.8125
40,9.5625
41,7.3125
42,5.0625
43,2.8125
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,2.8125
55,5.0625
56,7.3125
57,9.5625
58,11.8125
59,14.0625
60,14.0625
61,14.0625
62,14.0625
63,11.8125
64,9.5625
65,7.3125
66,5.0625
67,2.8125
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,2.8125
79,5.0625
80,7.3125
81,9.5625
82,11.8125
83,14.0625
84,14.0625
85,14.0625
86,14.0625
87,11.8125
88,9.5625
89,7.3125
90,5.0625
91,2.8125
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,2.8125
103,5.0625
104,7.3125
105,9.5625
106,11.8125
107,14.0625
108,14.0625
109,14.0625
110,14.0625
111,11.8125
112,9.5625
113,7.3125
114,5.0625
115,2.8125
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,2.8125
127,5.0625
128,7.3125
129,9.5625
130,11.8125
131,14.0625
132,14.0625
133,14.0625
134,14.0625
135,11.8125
136,9.5625
137,7.3125
138,5.0625
139,2.8125
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,2.8125
151,5.0625
152,7.3125
153,9.5625
154,11.8125
155,14.0625
156,14.0625
157,14.0625
158,14.0625
159,11.8125
160,9.5625
161,7.3125
162,5.0625
163,2.8125
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,2.8125
175,5.0625
176,7.3125
177,9.5625
178,11.8125
179,14.0625
180,14.0625
181,14.0625
182,14.0625
183,11.8125
184,9.5625
185,7.3125
186,5.0625
187,2.8125
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,2.8125
199,5.0625
200,7.3125
201,9.5625
202,11.8125
203,14.0625
204,14.0625
205,14.0625
206,14.0625
207,11.8125
208,9.5625
209,7.3125
210,5.0625
211,2.8125
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,2.8125
223,5.0625
224,7.3125
225,9.5625
226,11.8125
227,14.0625
228,14.0625
229,14.0625
230,14.0625
231,11.8125
232,9.5625
233,7.3125
234,5.0625
235,2.8125
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,2.8125
247,5.0625
248,7.3125
249,9.5625
250,11.8125
251,14.0625
252,14.0625
253,14.0625
254,14.0625
255,11.8125
256,9.5625
257,7.3125
258,5.0625
259,2.8125
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,2.8125
271,5.0625
272,7.3125
273,9.5625
274,11.8125
275,14.0625
276,14.0625
277,14.0625
278,14.0625
279,11.8125
280,9.5625
281,7.3125
282,5.0625
283,2.8125
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,2.8125
295,5.0625
296,7.3125
297,9.5625
298,11.8125
299,14.0625
300,14.0625
301,14.0625
302,14.0625
303,11.8125
304,9.5625
305,7.3125
306,5.0625
307,2.8125
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,2.8125
319,5.0625
320,7.3125
321,9.5625
322,11.8125
323,14.0625
324,14.0625
325,14.0625
326,14.0625
327,11.8125
328,9.5625
329,7.3125
330,5.0625
331,2.8125
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,2.8125
343,5.0625
344,7.3125
345,9.5625
346,11.8125
347,14.0625
348,14.0625
349,14.0625
350,14.0625
351,11.8125
352,9.5625
353,7.3125
354,5.0625
355,2.8125
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,2.8125
367,5.0625
368,7.3125
369,9.5625
370,11.8125
