t,An
0,0
1,0
2,0
3,0
4,0
5,0
6,0.75
7,1.35
8,1.95
9,2.55
10,3.15
11,3.75
12,3.75
13,3.75
14,3.75
15,3.15
16,2.55
17,1.95
18,1.35
19,0.75
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0.75
31,1.35
32,1.95
33,2.55
34,3.15
35,3.75
36,3.75
37,3.75
38,3.75
39,3.15
40,2.55
41,1.95
42,1.35
43,0.75
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0.75
55,1.35
56,1.95
57,2.55
58,3.15
59,3.75
60,3.75
61,3.75
62,3.75
63,3.15
64,2.55
65,1.95
66,1.35
67,0.75
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0.75
79,1.35
80,1.95
81,2.55
82,3.15
83,3.75
84,3.75
85,3.75
86,3.75
87,3.15
88,2.55
89,1.95
90,1.35
91,0.75
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0.75
103,1.35
104,1.95
105,2.55
106,3.15
107,3.75
108,3.75
109,3.75
110,3.75
111,3.15
112,2.55
113,1.95
114,1.35
115,0.75
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0.75
127,1.35
128,1.95
129,2.55
130,3.15
131,3.75
132,3.75
133,3.75
134,3.75
135,3.15
136,2.55
137,1.95
138,1.35
139,0.75
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0.75
151,1.35
152,1.95
153,2.55
154,3.15
155,3.75
156,3.75
157,3.75
158,3.75
159,3.15
160,2.55
161,1.95
162,1.35
163,0.75
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0.75
175,1.35
176,1.95
177,2.55
178,3.15
179,3.75
180,3.75
181,3.75
182,3.75
183,3.15
184,2.55
185,1.95
186,1.35
187,0.75
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0.75
199,1.35
200,1.95
201,2.55
202,3.15
203,3.75
204,3.75
205,3.75
206,3.75
207,3.15
208,2.55
209,1.95
210,1.35
211,0.75
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0.75
223,1.35
224,1.95
225,2.55
226,3.15
227,3.75
228,3.75
229,3.75
230,3.75
231,3.15
232,2.55
233,1.95
234,1.35
235,0.75
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0.75
247,1.35
248,1.95
249,2.55
250,3.15
251,3.75
252,3.75
253,3.75
254,3.75
255,3.15
256,2.55
257,1.95
258,1.35
259,0.75
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0.75
271,1.35
272,1.95
273,2.55
274,3.15
275,3.75
276,3.75
277,3.75
278,3.75
279,3.15
280,2.55
281,1.95
282,1.35
283,0.75
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0.75
295,1.35
296,1.95
297,2.55
298,3.15
299,3.75
300,3.75
301,3.75
302,3.75
303,3.15
304,2.55
305,1.95
306,1.35
307,0.75
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0.75
319,1.35
320,1.95
321,2.55
322,3.15
323,3.75
324,3.75
325,3.75
326,3.75
327,3.15
328,2.55
329,1.95
330,1.35
331,0.75
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0.75
343,1.35
344,1.95
345,2.55
346,3.15
347,3.75
348,3.75
349,3.75
350,3.75
351,3.15
352,2.55
353,1.95
354,1.35
355,0.75
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0.75
367,1.35
368,1.95
369,2.55
370,3.15
371,3.75
372,3.75
373,3.75
374,3.75
375,3.15
376,2.55
377,1.95
378,1.35
379,0.75
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0.75
391,1.35
392,1.95
393,2.55
394,3.15
395,3.75
396,3.75
397,3.75
398,3.75
399,3.15
400,2.55
401,1.95
402,1.35
403,0.75
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
