plant,axis,metamer,organ,label
1,MS,10,blade,blade
1,MS,10,internode,internode
1,MS,10,sheath,sheath
1,MS,11,blade,blade
1,MS,11,internode,internode
1,MS,11,sheath,sheath
1,MS,12,blade,blade
1,MS,12,internode,internode
1,MS,12,sheath,sheath
1,MS,13,peduncle,peduncle
1,MS,14,ear,ear
