plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins,senesced_mstruct,temperature
1,MS,phloem,500,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,20,20,7.5,NA,NA,NA,0.15,0.0045,2.5,0,12
1,MS,endosperm,NA,NA,NA,NA,714.1430399,27.19999058,0.003539268,NA,NA,NA,NA
