plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins,age_from_flowering
1,MS,phloem,500,100,NA,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,20,20,7.5,NA,NA,NA,0.15,0.0045,2.5,NA
1,MS,grains,NA,NA,NA,2450,0,107,NA,NA,NA,0
